TIME,R1,MYO1,R2,MYO2,APPARENT_07_21_RHO,APPARENT_35_21_RHO,CCR
0.0,135.679,0.07,204.129,0.136,5.967,5.985,4532.0
0.001,135.68,-9.207,204.13,1895.248,5.968,5.985,4532.0
0.002,135.681,-0.076,204.132,-0.109,5.968,5.985,4532.0
0.003,135.682,-14.688,204.133,2999.788,5.968,5.985,4532.0
0.004,135.683,-0.151,204.134,-0.245,5.968,5.986,4532.0
0.005,135.684,38.228,204.136,-7861.963,5.968,5.986,4532.0
0.006,135.685,0.18,204.137,0.274,5.968,5.986,4532.0
0.007,135.686,-13.959,204.138,2892.302,5.968,5.986,4532.0
0.008,135.687,0.043,204.14,0.074,5.968,5.986,4532.0
0.009,135.689,-8.483,204.141,1749.205,5.968,5.986,4532.0
0.01,135.689,-0.028,204.142,-0.051,5.968,5.986,4532.0
0.011,135.689,-1.995,204.142,399.528,5.968,5.986,4532.0
0.012,135.689,-0.053,204.143,-0.106,5.968,5.986,4532.0
0.013,135.689,3.121,204.143,-646.522,5.968,5.986,4532.0
0.014,135.69,-0.01,204.144,-0.042,5.968,5.986,4532.0
0.015,135.69,4.848,204.144,-998.453,5.968,5.986,4532.0
0.016,135.69,0.027,204.145,0.085,5.968,5.986,4532.0
0.017,135.69,2.995,204.145,-608.409,5.968,5.986,4532.0
0.018,135.691,0.037,204.146,0.076,5.968,5.986,4532.0
0.019,135.691,-1.757,204.147,375.753,5.968,5.986,4532.0
0.02,135.691,0.043,204.147,0.054,5.968,5.986,4532.0
0.021,135.692,-7.428,204.148,1524.795,5.968,5.986,4532.0
0.022,135.692,-0.013,204.149,-0.028,5.968,5.986,4532.0
0.023,135.693,-11.832,204.15,2413.484,5.968,5.986,4532.0
0.024,135.693,-0.155,204.151,-0.227,5.968,5.986,4532.0
0.025,135.694,30.771,204.152,-6325.357,5.968,5.986,4532.0
0.026,135.694,0.145,204.153,0.223,5.968,5.986,4532.0
0.027,135.695,-11.223,204.154,2327.02,5.968,5.986,4532.0
0.028,135.695,0.036,204.155,0.052,5.968,5.986,4532.0
0.029,135.696,-6.844,204.156,1407.299,5.968,5.986,4532.0
0.03,135.696,-0.03,204.156,-0.042,5.968,5.986,4532.0
0.031,135.696,-1.592,204.156,321.464,5.968,5.986,4532.0
0.032,135.696,-0.038,204.156,-0.083,5.968,5.986,4531.0
0.033,135.696,2.514,204.156,-520.152,5.968,5.986,4531.0
0.034,135.696,0.008,204.156,-0.009,5.968,5.986,4531.0
0.035,135.696,3.894,204.156,-803.319,5.968,5.986,4531.0
0.036,135.696,0.011,204.156,0.063,5.968,5.986,4531.0
0.037,135.696,2.42,204.156,-489.471,5.968,5.986,4531.0
0.038,135.696,0.024,204.157,0.053,5.968,5.986,4531.0
0.039,135.696,-1.442,204.157,302.265,5.968,5.986,4531.0
0.04,135.696,0.051,204.157,0.051,5.968,5.986,4531.0
0.041,135.697,-5.942,204.157,1226.806,5.968,5.986,4531.0
0.042,135.698,-0.039,204.158,-0.085,5.968,5.986,4531.0
0.043,135.698,-9.53,204.158,1941.758,5.968,5.986,4531.0
0.044,135.699,-0.115,204.158,-0.141,5.968,5.986,4531.0
0.045,135.699,24.734,204.159,-5089.097,5.968,5.986,4531.0
0.046,135.7,0.133,204.159,0.213,5.968,5.986,4531.0
0.047,135.701,-9.013,204.159,1872.252,5.968,5.986,4531.0
0.048,135.701,0.033,204.16,0.047,5.968,5.986,4531.0
0.049,135.702,-5.478,204.16,1132.279,5.968,5.986,4531.0
0.05,135.702,-0.039,204.16,-0.064,5.968,5.986,4531.0
0.051,135.702,-1.311,204.159,258.574,5.968,5.986,4531.0
0.052,135.702,-0.037,204.159,-0.089,5.968,5.986,4531.0
0.053,135.702,2.019,204.159,-418.496,5.968,5.986,4531.0
0.054,135.701,0.018,204.158,0.013,5.968,5.986,4532.0
0.055,135.701,3.14,204.158,-646.301,5.968,5.986,4532.0
0.056,135.701,-0.005,204.158,0.032,5.968,5.986,4532.0
0.057,135.701,1.944,204.157,-393.815,5.968,5.986,4532.0
0.058,135.701,0.038,204.157,0.057,5.968,5.986,4532.0
0.059,135.701,-1.152,204.157,243.203,5.968,5.986,4532.0
0.06,135.701,0.03,204.157,0.062,5.968,5.986,4532.0
0.061,135.701,-4.79,204.157,987.046,5.968,5.986,4532.0
0.062,135.701,-0.013,204.156,-0.038,5.968,5.986,4532.0
0.063,135.701,-7.649,204.156,1562.278,5.968,5.986,4532.0
0.064,135.701,-0.11,204.156,-0.164,5.968,5.986,4532.0
0.065,135.701,19.897,204.156,-4094.503,5.968,5.986,4531.0
0.066,135.701,0.094,204.156,0.136,5.968,5.986,4531.0
0.067,135.701,-7.276,204.156,1506.298,5.968,5.986,4531.0
0.068,135.701,0.024,204.156,0.045,5.968,5.986,4531.0
0.069,135.701,-4.412,204.156,910.996,5.968,5.986,4531.0
0.07,135.702,-0.002,204.157,0.007,5.968,5.986,4531.0
0.071,135.702,-1.025,204.158,208.072,5.968,5.986,4531.0
0.072,135.703,-0.015,204.159,-0.065,5.969,5.986,4531.0
0.073,135.704,1.633,204.16,-336.692,5.969,5.986,4531.0
0.074,135.704,-0.026,204.161,-0.022,5.969,5.986,4532.0
0.075,135.705,2.513,204.162,-519.989,5.969,5.986,4532.0
0.076,135.705,0.006,204.163,0.021,5.969,5.986,4532.0
0.077,135.706,1.549,204.164,-316.875,5.969,5.986,4532.0
0.078,135.706,0.033,204.165,0.057,5.969,5.986,4532.0
0.079,135.707,-0.934,204.166,195.654,5.969,5.986,4532.0
0.08,135.708,0.011,204.167,0.005,5.969,5.986,4532.0
0.081,135.709,-3.83,204.169,794.151,5.969,5.987,4532.0
0.082,135.71,0.003,204.17,-0.003,5.969,5.987,4532.0
0.083,135.711,-6.152,204.172,1256.949,5.969,5.987,4532.0
0.084,135.712,-0.073,204.173,-0.089,5.969,5.987,4532.0
0.085,135.713,16.006,204.175,-3294.221,5.969,5.987,4532.0
0.086,135.714,0.067,204.176,0.104,5.969,5.987,4532.0
0.087,135.715,-5.862,204.178,1211.872,5.969,5.987,4532.0
0.088,135.716,0.025,204.179,0.023,5.969,5.987,4532.0
0.089,135.717,-3.552,204.181,732.913,5.969,5.987,4532.0
0.09,135.718,-0.037,204.183,-0.056,5.969,5.987,4532.0
0.091,135.719,-0.826,204.185,167.425,5.969,5.987,4532.0
0.092,135.72,-0.007,204.187,-0.016,5.969,5.987,4532.0
0.093,135.721,1.316,204.189,-270.88,5.969,5.987,4532.0
0.094,135.722,0.011,204.191,-0.006,5.969,5.987,4532.0
0.095,135.723,2.023,204.192,-418.366,5.969,5.987,4532.0
0.096,135.724,0.002,204.194,0.043,5.969,5.987,4532.0
0.097,135.725,1.254,204.196,-254.923,5.969,5.987,4532.0
0.098,135.726,0.012,204.198,0.025,5.97,5.987,4532.0
0.099,135.727,-0.741,204.2,157.434,5.97,5.987,4532.0
0.1,135.727,0.029,204.201,0.018,5.97,5.987,4531.0
0.101,135.727,-3.111,204.201,638.872,5.97,5.987,4531.0
0.102,135.728,-0.024,204.202,-0.039,5.97,5.988,4531.0
0.103,135.728,-4.951,204.203,1011.304,5.97,5.988,4531.0
0.104,135.729,-0.056,204.204,-0.069,5.97,5.988,4531.0
0.105,135.729,12.892,204.204,-2650.379,5.97,5.988,4531.0
0.106,135.73,0.06,204.205,0.095,5.97,5.988,4531.0
0.107,135.73,-4.705,204.206,975.038,5.97,5.988,4531.0
0.108,135.731,0.003,204.206,0.003,5.97,5.988,4531.0
0.109,135.731,-2.877,204.207,589.664,5.97,5.988,4531.0
0.11,135.731,0.017,204.206,0.02,5.97,5.988,4531.0
0.111,135.73,-0.64,204.205,134.733,5.97,5.988,4531.0
0.112,135.73,-0.021,204.205,-0.04,5.97,5.988,4531.0
0.113,135.729,1.026,204.204,-218.004,5.97,5.988,4531.0
0.114,135.729,-0.02,204.203,-0.052,5.97,5.988,4531.0
0.115,135.728,1.639,204.202,-336.588,5.97,5.988,4531.0
0.116,135.728,0.011,204.202,0.044,5.97,5.988,4531.0
0.117,135.728,1.015,204.201,-205.088,5.97,5.987,4531.0
0.118,135.727,0.026,204.2,0.046,5.97,5.987,4531.0
0.119,135.727,-0.592,204.199,126.678,5.97,5.987,4531.0
0.12,135.725,0.008,204.196,0.009,5.969,5.987,4531.0
0.121,135.723,-2.497,204.192,514.047,5.969,5.987,4531.0
0.122,135.721,-0.019,204.188,-0.028,5.969,5.987,4531.0
0.123,135.719,-4.004,204.185,813.594,5.969,5.987,4531.0
0.124,135.717,-0.023,204.181,-0.04,5.969,5.987,4531.0
0.125,135.715,10.37,204.177,-2132.391,5.969,5.987,4531.0
0.126,135.713,0.021,204.174,0.021,5.969,5.987,4531.0
0.127,135.711,-3.778,204.17,784.468,5.969,5.987,4531.0
0.128,135.709,0.024,204.166,0.033,5.969,5.986,4531.0
0.129,135.707,-2.285,204.163,474.466,5.969,5.986,4532.0
0.13,135.703,0.004,204.156,0.027,5.969,5.986,4531.0
0.131,135.7,-0.544,204.149,108.392,5.968,5.986,4531.0
0.132,135.696,-0.022,204.143,-0.016,5.968,5.986,4531.0
0.133,135.692,0.83,204.136,-175.372,5.968,5.986,4531.0
0.134,135.688,-0.018,204.129,-0.056,5.968,5.985,4531.0
0.135,135.684,1.311,204.122,-270.854,5.968,5.985,4531.0
0.136,135.68,0.026,204.116,0.012,5.968,5.985,4531.0
0.137,135.676,0.828,204.109,-165.018,5.967,5.985,4531.0
0.138,135.672,0.009,204.102,0.028,5.967,5.985,4531.0
0.139,135.668,-0.477,204.096,101.934,5.967,5.984,4531.0
0.14,135.664,-0.009,204.088,0.008,5.967,5.984,4531.0
0.141,135.66,-2.027,204.08,413.583,5.967,5.984,4531.0
0.142,135.656,0.026,204.072,0.048,5.966,5.984,4531.0
0.143,135.652,-3.198,204.064,654.612,5.966,5.983,4531.0
0.144,135.647,-0.064,204.056,-0.095,5.966,5.983,4531.0
0.145,135.643,8.348,204.048,-1715.613,5.966,5.983,4531.0
0.146,135.639,0.055,204.04,0.072,5.966,5.983,4531.0
0.147,135.635,-3.054,204.032,631.123,5.966,5.983,4531.0
0.148,135.631,0.013,204.024,-0.003,5.965,5.982,4531.0
0.149,135.627,-1.845,204.016,381.7,5.965,5.982,4531.0
0.15,135.621,-0.036,204.006,-0.049,5.965,5.982,4531.0
0.151,135.616,-0.435,203.997,87.199,5.965,5.982,4531.0
0.152,135.611,0.006,203.988,0.02,5.964,5.981,4531.0
0.153,135.605,0.674,203.979,-141.076,5.964,5.981,4531.0
0.154,135.6,-0.008,203.97,-0.013,5.964,5.981,4531.0
0.155,135.595,1.051,203.96,-217.894,5.964,5.98,4531.0
0.156,135.589,0.036,203.951,0.05,5.964,5.98,4531.0
0.157,135.584,0.666,203.942,-132.744,5.963,5.98,4531.0
0.158,135.579,-0.013,203.933,0.004,5.963,5.98,4531.0
0.159,135.574,-0.366,203.923,82.029,5.963,5.979,4531.0
0.16,135.569,0.002,203.914,-0.002,5.963,5.979,4531.0
0.161,135.564,-1.638,203.905,332.679,5.962,5.979,4531.0
0.162,135.559,-0.004,203.895,-0.047,5.962,5.979,4530.0
0.163,135.554,-2.601,203.886,526.625,5.962,5.978,4530.0
0.164,135.549,-0.032,203.876,-0.026,5.962,5.978,4530.0
0.165,135.544,6.723,203.867,-1380.247,5.962,5.978,4530.0
0.166,135.539,0.043,203.858,0.086,5.961,5.977,4530.0
0.167,135.534,-2.425,203.848,507.831,5.961,5.977,4530.0
0.168,135.529,0.006,203.839,0.005,5.961,5.977,4530.0
0.169,135.524,-1.511,203.83,307.063,5.961,5.977,4530.0
0.17,135.519,-0.02,203.82,-0.034,5.96,5.976,4530.0
0.171,135.514,-0.351,203.81,70.143,5.96,5.976,4530.0
0.172,135.509,-0.004,203.8,-0.015,5.96,5.976,4530.0
0.173,135.504,0.557,203.79,-113.503,5.96,5.975,4530.0
0.174,135.498,0.03,203.78,0.028,5.96,5.975,4530.0
0.175,135.493,0.849,203.77,-175.31,5.959,5.975,4529.0
0.176,135.488,-0.027,203.761,-0.02,5.959,5.975,4529.0
0.177,135.483,0.512,203.751,-106.826,5.959,5.974,4529.0
0.178,135.478,0.001,203.741,-0.007,5.959,5.974,4529.0
0.179,135.473,-0.289,203.731,66.012,5.958,5.974,4529.0
0.18,135.469,0.006,203.724,0.023,5.958,5.973,4529.0
0.181,135.465,-1.307,203.716,267.698,5.958,5.973,4529.0
0.182,135.462,0.015,203.709,0.032,5.958,5.973,4529.0
0.183,135.458,-2.094,203.702,423.699,5.958,5.973,4529.0
0.184,135.455,-0.015,203.694,-0.039,5.958,5.973,4529.0
0.185,135.451,5.419,203.687,-1110.511,5.957,5.972,4529.0
0.186,135.447,0.014,203.68,0.023,5.957,5.972,4529.0
0.187,135.444,-1.97,203.672,408.547,5.957,5.972,4529.0
0.188,135.44,-0.006,203.665,-0.018,5.957,5.972,4529.0
0.189,135.437,-1.211,203.658,247.071,5.957,5.972,4529.0
0.19,135.433,-0.019,203.65,-0.033,5.957,5.971,4529.0
0.191,135.429,-0.277,203.643,56.431,5.956,5.971,4529.0
0.192,135.425,0.013,203.635,0.026,5.956,5.971,4529.0
0.193,135.421,0.446,203.628,-91.298,5.956,5.971,4529.0
0.194,135.417,0.022,203.62,0.058,5.956,5.97,4529.0
0.195,135.413,0.681,203.613,-141.02,5.956,5.97,4529.0
0.196,135.409,-0.005,203.605,-0.012,5.956,5.97,4529.0
0.197,135.405,0.426,203.598,-85.965,5.955,5.97,4529.0
0.198,135.401,-0.014,203.59,-0.054,5.955,5.97,4529.0
0.199,135.398,-0.264,203.583,53.023,5.955,5.969,4529.0
0.2,135.395,-0.002,203.578,-0.015,5.955,5.969,4529.0
0.201,135.393,-1.029,203.573,215.436,5.955,5.969,4528.0
0.202,135.391,-0.001,203.568,0.047,5.955,5.969,4528.0
0.203,135.388,-1.674,203.563,340.939,5.955,5.969,4528.0
0.204,135.386,0.005,203.558,-0.007,5.955,5.969,4528.0
0.205,135.384,4.336,203.553,-893.513,5.954,5.968,4528.0
0.206,135.382,0.016,203.548,0.025,5.954,5.968,4528.0
0.207,135.379,-1.588,203.543,328.699,5.954,5.968,4528.0
0.208,135.377,-0.003,203.538,0.0,5.954,5.968,4527.0
0.209,135.375,-0.949,203.534,198.798,5.954,5.968,4527.0
0.21,135.373,0.009,203.53,-0.008,5.954,5.968,4527.0
0.211,135.372,-0.236,203.527,45.401,5.954,5.968,4527.0
0.212,135.37,-0.049,203.524,-0.066,5.954,5.968,4527.0
0.213,135.368,0.35,203.521,-73.486,5.954,5.968,4527.0
0.214,135.367,0.036,203.518,0.049,5.954,5.967,4528.0
0.215,135.365,0.564,203.515,-113.445,5.954,5.967,4528.0
0.216,135.363,-0.007,203.512,0.001,5.954,5.967,4528.0
0.217,135.362,0.328,203.509,-69.158,5.954,5.967,4528.0
0.218,135.36,0.014,203.506,0.023,5.953,5.967,4528.0
0.219,135.359,-0.201,203.503,42.698,5.953,5.967,4528.0
0.22,135.358,0.009,203.501,0.012,5.953,5.967,4528.0
0.221,135.357,-0.842,203.5,173.291,5.953,5.967,4528.0
0.222,135.357,-0.01,203.499,-0.012,5.953,5.967,4528.0
0.223,135.356,-1.325,203.498,274.309,5.953,5.967,4528.0
0.224,135.356,-0.03,203.496,-0.057,5.953,5.967,4528.0
0.225,135.355,3.476,203.495,-718.888,5.953,5.967,4528.0
0.226,135.354,0.02,203.494,0.025,5.953,5.967,4528.0
0.227,135.354,-1.268,203.492,264.465,5.953,5.967,4528.0
0.228,135.353,0.01,203.491,0.03,5.953,5.967,4528.0
0.229,135.353,-0.793,203.49,159.929,5.953,5.967,4528.0
0.23,135.352,0.004,203.489,0.018,5.953,5.967,4528.0
0.231,135.352,-0.176,203.489,36.542,5.953,5.967,4528.0
0.232,135.352,0.001,203.488,-0.019,5.953,5.967,4528.0
0.233,135.352,0.316,203.488,-59.077,5.953,5.967,4528.0
0.234,135.351,-0.016,203.488,-0.039,5.953,5.967,4528.0
0.235,135.351,0.413,203.487,-91.35,5.953,5.967,4528.0
0.236,135.351,-0.003,203.487,0.009,5.953,5.967,4528.0
0.237,135.351,0.282,203.486,-55.621,5.953,5.967,4528.0
0.238,135.351,0.025,203.486,0.052,5.953,5.967,4528.0
0.239,135.35,-0.166,203.485,34.379,5.953,5.966,4528.0
0.24,135.35,-0.006,203.485,-0.003,5.953,5.966,4528.0
0.241,135.35,-0.675,203.484,139.419,5.953,5.966,4528.0
0.242,135.35,-0.03,203.484,-0.058,5.953,5.966,4528.0
0.243,135.35,-1.084,203.484,220.66,5.953,5.966,4528.0
0.244,135.35,0.033,203.484,0.027,5.953,5.966,4528.0
0.245,135.35,2.825,203.483,-578.361,5.953,5.966,4528.0
0.246,135.35,0.0,203.483,0.005,5.953,5.966,4528.0
0.247,135.35,-1.037,203.483,212.772,5.953,5.966,4528.0
0.248,135.35,-0.011,203.482,0.006,5.953,5.966,4528.0
0.249,135.35,-0.633,203.482,128.692,5.953,5.966,4528.0
0.25,135.349,-0.007,203.481,0.014,5.953,5.966,4528.0
0.251,135.349,-0.128,203.48,29.422,5.953,5.966,4528.0
0.252,135.348,0.027,203.479,0.021,5.953,5.966,4528.0
0.253,135.348,0.215,203.478,-47.618,5.953,5.966,4528.0
0.254,135.347,-0.024,203.477,-0.078,5.953,5.966,4528.0
0.255,135.346,0.367,203.476,-73.45,5.953,5.966,4528.0
0.256,135.346,-0.002,203.475,-0.002,5.953,5.966,4528.0
0.257,135.345,0.223,203.475,-44.726,5.953,5.966,4529.0
0.258,135.345,0.017,203.474,0.074,5.953,5.966,4529.0
0.259,135.344,-0.152,203.473,27.628,5.953,5.966,4529.0
0.26,135.344,-0.001,203.473,0.003,5.953,5.966,4529.0
0.261,135.344,-0.523,203.472,112.188,5.953,5.966,4529.0
0.262,135.345,0.004,203.472,-0.023,5.953,5.966,4529.0
0.263,135.345,-0.886,203.472,177.512,5.953,5.966,4528.0
0.264,135.345,-0.023,203.472,-0.044,5.953,5.966,4528.0
0.265,135.345,2.289,203.472,-465.296,5.953,5.966,4528.0
0.266,135.345,0.016,203.471,0.041,5.953,5.966,4528.0
0.267,135.346,-0.841,203.471,171.192,5.953,5.966,4528.0
0.268,135.346,-0.003,203.471,0.001,5.953,5.966,4528.0
0.269,135.346,-0.515,203.471,103.507,5.953,5.966,4528.0
0.27,135.346,0.0,203.471,-0.004,5.953,5.966,4528.0
0.271,135.346,-0.106,203.471,23.662,5.953,5.966,4528.0
0.272,135.346,0.016,203.47,0.019,5.953,5.966,4528.0
0.273,135.346,0.182,203.47,-38.268,5.953,5.966,4528.0
0.274,135.346,-0.017,203.47,-0.03,5.953,5.966,4528.0
0.275,135.346,0.295,203.47,-59.103,5.953,5.966,4528.0
0.276,135.345,-0.001,203.47,-0.001,5.953,5.966,4528.0
0.277,135.345,0.179,203.47,-36.005,5.953,5.966,4528.0
0.278,135.345,-0.003,203.47,-0.01,5.953,5.966,4528.0
0.279,135.345,-0.117,203.47,22.22,5.953,5.966,4528.0
0.28,135.345,0.003,203.469,0.016,5.953,5.966,4528.0
0.281,135.345,-0.452,203.468,90.255,5.953,5.966,4528.0
0.282,135.344,0.024,203.467,0.053,5.953,5.966,4528.0
0.283,135.344,-0.665,203.466,142.911,5.953,5.966,4528.0
0.284,135.344,-0.026,203.465,-0.033,5.953,5.966,4528.0
0.285,135.344,1.812,203.464,-374.408,5.953,5.966,4528.0
0.286,135.343,0.012,203.463,-0.01,5.953,5.966,4528.0
0.287,135.343,-0.667,203.463,137.693,5.953,5.966,4528.0
0.288,135.343,-0.006,203.462,-0.045,5.953,5.966,4528.0
0.289,135.343,-0.41,203.461,83.254,5.953,5.966,4528.0
0.29,135.342,-0.002,203.46,0.001,5.953,5.966,4528.0
0.291,135.341,-0.142,203.459,19.013,5.953,5.966,4528.0
0.292,135.341,0.008,203.458,0.08,5.953,5.966,4528.0
0.293,135.34,0.236,203.457,-30.622,5.953,5.966,4528.0
0.294,135.34,-0.017,203.456,-0.016,5.953,5.966,4528.0
0.295,135.339,0.196,203.456,-47.599,5.953,5.966,4528.0
0.296,135.339,0.026,203.455,0.016,5.953,5.966,4528.0
0.297,135.338,0.144,203.454,-29.02,5.952,5.966,4528.0
0.298,135.337,-0.006,203.453,-0.061,5.952,5.966,4528.0
0.299,135.337,-0.098,203.452,17.841,5.952,5.966,4528.0
0.3,135.337,-0.005,203.452,-0.016,5.952,5.966,4528.0
0.301,135.337,-0.357,203.452,72.641,5.952,5.966,4528.0
0.302,135.336,0.004,203.451,0.053,5.952,5.965,4528.0
0.303,135.336,-0.546,203.451,114.977,5.952,5.965,4528.0
0.304,135.336,-0.035,203.451,-0.029,5.952,5.965,4528.0
0.305,135.336,1.455,203.451,-301.224,5.952,5.965,4528.0
0.306,135.336,0.038,203.451,0.038,5.952,5.965,4528.0
0.307,135.335,-0.527,203.45,110.81,5.952,5.965,4528.0
0.308,135.335,0.003,203.45,-0.006,5.952,5.965,4528.0
0.309,135.335,-0.322,203.45,67.016,5.952,5.965,4528.0
0.31,135.335,0.007,203.45,0.007,5.952,5.965,4528.0
0.311,135.335,-0.081,203.449,15.29,5.952,5.965,4528.0
0.312,135.334,-0.029,203.449,-0.046,5.952,5.965,4528.0
0.313,135.334,0.117,203.449,-24.762,5.952,5.965,4527.0
0.314,135.334,-0.002,203.449,-0.005,5.952,5.965,4527.0
0.315,135.334,0.178,203.449,-38.263,5.952,5.965,4527.0
0.316,135.333,0.007,203.448,0.018,5.952,5.965,4527.0
0.317,135.333,0.124,203.448,-23.308,5.952,5.965,4527.0
0.318,135.333,0.021,203.448,0.037,5.952,5.965,4527.0
0.319,135.333,-0.065,203.448,14.415,5.952,5.965,4527.0
0.32,135.332,-0.006,203.446,-0.002,5.952,5.965,4527.0
0.321,135.331,-0.288,203.445,58.421,5.952,5.965,4527.0
0.322,135.331,-0.01,203.444,-0.017,5.952,5.965,4527.0
0.323,135.33,-0.437,203.442,92.468,5.952,5.965,4527.0
0.324,135.329,0.006,203.441,-0.013,5.952,5.965,4527.0
0.325,135.329,1.153,203.439,-242.377,5.952,5.965,4527.0
0.326,135.328,-0.018,203.438,-0.027,5.952,5.965,4527.0
0.327,135.327,-0.422,203.437,89.171,5.952,5.965,4527.0
0.328,135.327,0.012,203.435,0.031,5.952,5.965,4527.0
0.329,135.326,-0.263,203.434,53.931,5.952,5.965,4527.0
0.33,135.325,0.007,203.433,0.026,5.952,5.965,4527.0
0.331,135.325,-0.045,203.432,12.329,5.952,5.965,4527.0
0.332,135.324,0.006,203.432,-0.017,5.952,5.965,4527.0
0.333,135.324,0.071,203.431,-19.976,5.952,5.965,4527.0
0.334,135.323,0.004,203.43,0.01,5.952,5.965,4527.0
0.335,135.322,0.161,203.429,-30.744,5.952,5.965,4526.0
0.336,135.322,-0.029,203.429,-0.023,5.952,5.965,4526.0
0.337,135.321,0.098,203.428,-18.741,5.952,5.965,4526.0
0.338,135.321,0.013,203.427,0.003,5.952,5.965,4526.0
0.339,135.32,-0.058,203.426,11.551,5.952,5.965,4526.0
0.34,135.32,-0.001,203.426,-0.029,5.952,5.965,4526.0
0.341,135.32,-0.237,203.426,47.005,5.952,5.965,4526.0
0.342,135.321,0.012,203.427,0.064,5.952,5.965,4526.0
0.343,135.321,-0.354,203.427,74.411,5.952,5.965,4526.0
0.344,135.321,-0.003,203.427,-0.01,5.952,5.965,4526.0
0.345,135.321,0.953,203.427,-194.966,5.952,5.965,4526.0
0.346,135.321,-0.011,203.427,-0.033,5.952,5.965,4526.0
0.347,135.322,-0.374,203.427,71.677,5.952,5.965,4526.0
0.348,135.322,0.013,203.427,0.018,5.952,5.965,4526.0
0.349,135.322,-0.191,203.427,43.414,5.952,5.965,4526.0
0.35,135.322,0.0,203.427,0.007,5.952,5.965,4525.0
0.351,135.322,-0.046,203.426,9.92,5.952,5.965,4525.0
0.352,135.321,-0.022,203.425,-0.028,5.952,5.965,4525.0
0.353,135.321,0.086,203.425,-16.019,5.952,5.965,4525.0
0.354,135.321,0.018,203.424,0.026,5.952,5.965,4525.0
0.355,135.321,0.117,203.424,-24.783,5.952,5.965,4525.0
0.356,135.321,0.009,203.423,-0.001,5.952,5.965,4525.0
0.357,135.321,0.04,203.422,-15.133,5.952,5.965,4525.0
0.358,135.32,-0.01,203.422,-0.002,5.952,5.965,4525.0
0.359,135.32,-0.024,203.421,9.351,5.952,5.965,4525.0
0.36,135.32,-0.002,203.42,-0.009,5.952,5.965,4525.0
0.361,135.32,-0.171,203.42,37.831,5.952,5.965,4525.0
0.362,135.32,-0.004,203.419,0.001,5.952,5.965,4525.0
0.363,135.32,-0.296,203.419,59.872,5.952,5.965,4525.0
0.364,135.32,-0.002,203.418,0.001,5.952,5.965,4525.0
0.365,135.32,0.757,203.417,-156.899,5.952,5.964,4524.0
0.366,135.32,0.025,203.417,0.028,5.952,5.964,4524.0
0.367,135.32,-0.279,203.416,57.712,5.952,5.964,4524.0
0.368,135.319,-0.014,203.415,-0.026,5.952,5.964,4524.0
0.369,135.319,-0.172,203.415,34.888,5.952,5.964,4524.0
0.37,135.32,-0.012,203.416,-0.005,5.952,5.964,4524.0
0.371,135.321,-0.038,203.417,7.996,5.952,5.964,4524.0
0.372,135.322,-0.005,203.418,-0.009,5.952,5.965,4524.0
0.373,135.323,0.064,203.419,-12.905,5.952,5.965,4525.0
0.374,135.323,0.018,203.42,0.012,5.952,5.965,4525.0
0.375,135.324,0.095,203.421,-19.93,5.952,5.965,4525.0
0.376,135.325,0.006,203.422,0.028,5.952,5.965,4525.0
