"TIME","POSITION","rho1","rho2","h","RMS_BASE","RMS_DIFF"
18.25,-1.26,4.63502877950501,7.72138803373102,0.00346284355317946,0.028769924522349,1.95100363985146
18.75,-1.05,2.43167040293899,7.72118192908497,0.0012343564412835,0.028729164901442,0.888413579702945
19.25,-1.47,1.91846274936475,7.72104462332571,0.00095626124522436,0.0286882083764967,0.612071169119514
19.75,-1.26,1.49815174068976,7.72097954365207,0.000672133624257809,0.0286428401410858,0.478819997312386
20.25,-1.68,1.54095317823918,7.72099087096649,0.000810971428807365,0.0285911335307919,0.397062472887479
20.75,-1.47,1.15475357700784,7.72107426550971,0.000494241051692232,0.0285326007759298,0.344898229579014
21.25,-1.89,1.23759827660248,7.72121104768992,0.000618126113667493,0.0284679248054288,0.308044854581852
21.75,-1.68,1.49459948894,7.72138359707116,0.000994364039855869,0.0283985245715417,0.273978670598922
22.25,-2.1,1.31597272360833,7.72158029798086,0.000811130354625343,0.0283257818841869,0.253862059993719
22.75,-1.89,1.50939281478899,7.72181651175192,0.00112984150508303,0.028251577336886,0.238620889990708
23.25,-2.31,1.29115653651831,7.7220886651511,0.000851939628977442,0.028177374345062,0.226834626135885
23.75,-2.1,1.16655535590444,7.72239244245911,0.0007116161305838,0.028104024373056,0.217178273455493
24.25,-2.52,1.32672195761395,7.72271407178977,0.000941332852820873,0.0280323147330729,0.212315368584095
24.75,-2.31,1.03356613419059,7.72304804723728,0.000567066670223301,0.0279626935899942,0.210788974354979
25.25,-2.73,1.25506904653172,7.72342131520639,0.000846518386700867,0.0278953849343845,0.206767169456088
25.75,-2.52,0.975323382155093,7.72382250061137,0.00050853878412878,0.0278303469199869,0.201226194379005
26.25,-2.94,0.87821919190963,7.72426329531275,0.000411872015736102,0.0277674437758153,0.194050514664271
26.75,-2.73,0.87730686160589,7.72477394401561,0.000413534049178396,0.0277066751917044,0.183042791919407
27.25,-3.15,0.87244572275174,7.72538492833799,0.000414243750164961,0.02764842192266,0.167843254068082
27.75,-2.94,1.64977060001934,7.72612789999676,0.00155721125630275,0.0275929834200253,0.148986269206548
28.25,-3.36,1.48021791601379,7.72698406548156,0.00126935310481342,0.0275414313616636,0.126631005944239
28.75,-3.15,0.881445521335559,7.72795887072828,0.000449996293430894,0.0274937072455045,0.101079808242927
29.25,-3.57,1.05170568725521,7.72905408822429,0.000661916756013676,0.0274495301912554,0.0748392715041003
29.75,-3.36,1.39124770539473,7.73024434355729,0.00120312658604795,0.0274087382201806,0.049410402015052
30.25,-3.78,1.64029400211106,7.7315064072914,0.00172484170818771,0.0273707884319771,0.0245739385273255
30.75,-3.57,2.11937364445455,7.7328255022043,0.00302012909279292,0.0273345249127684,0.00115492782288199
31.25,-3.99,2.15011289311946,7.73418767298733,0.00315523291920653,0.0272993691670759,0.0224857446305573
31.75,-3.78,7.65433744892839,7.77406833870621,1.73243555472195,0.0268464129078212,0.0268464128692891
