TIME_s,R1_Ω,MYO1_mV,R2_Ω,MYO2_mV,APPARENT_07_21_RHO_Ω·m,APPARENT_35_21_RHO_Ω·m,CCR_Ω
0.0,119.337,-320.804,168.0,-1810.37,5.249,4.926,3229.0
0.001,119.338,-3477.535,168.001,-10.6,5.249,4.926,3229.0
0.002,119.34,-1301.715,168.002,-7348.139,5.249,4.926,3229.0
0.003,119.341,-5504.436,168.003,-16.63,5.249,4.926,3229.0
0.004,119.343,-2060.287,168.005,-11631.164,5.249,4.926,3229.0
0.005,119.345,14425.906,168.006,44.055,5.249,4.926,3229.0
0.006,119.346,5399.882,168.007,30482.223,5.249,4.926,3229.0
0.007,119.348,-5306.936,168.008,-16.417,5.249,4.926,3229.0
0.008,119.349,-1986.61,168.009,-11213.488,5.249,4.926,3229.0
0.009,119.351,-3209.6,168.01,-9.837,5.249,4.926,3229.0
0.01,119.351,-1201.416,168.01,-6781.917,5.249,4.926,3229.0
0.011,119.351,-733.188,168.01,-2.122,5.249,4.926,3229.0
0.012,119.351,-274.349,168.01,-1549.301,5.249,4.926,3229.0
0.013,119.351,1186.287,168.01,3.769,5.249,4.926,3229.0
0.014,119.351,444.087,168.01,2506.56,5.249,4.926,3229.0
0.015,119.351,1832.118,168.01,5.585,5.249,4.926,3229.0
0.016,119.351,685.75,168.01,3871.272,5.249,4.926,3229.0
0.017,119.351,1116.383,168.011,3.301,5.249,4.926,3229.0
0.018,119.351,417.829,168.011,2359.005,5.249,4.926,3229.0
0.019,119.352,-689.399,168.011,-2.237,5.249,4.926,3229.0
0.02,119.353,-258.129,168.012,-1456.585,5.249,4.926,3229.0
0.021,119.354,-2797.893,168.013,-8.581,5.249,4.926,3229.0
0.022,119.355,-1047.271,168.014,-5911.96,5.25,4.926,3229.0
0.023,119.356,-4428.583,168.015,-13.35,5.25,4.926,3229.0
0.024,119.357,-1657.602,168.016,-9357.902,5.25,4.926,3229.0
0.025,119.358,11606.405,168.017,35.418,5.25,4.927,3229.0
0.026,119.359,4344.475,168.018,24524.615,5.25,4.927,3229.0
0.027,119.36,-4269.717,168.019,-13.199,5.25,4.927,3229.0
