"TIME","POSITION","A1","A2","DA1","DA2"
2.75,0.21,4.54387790493498,5.33891303942386,-0.313275599757127,-0.166523090086106
3.25,0.63,4.54225442445301,5.33773296812652,-0.263944844679449,-0.118461415032442
3.75,0.42,4.54100905447956,5.33687459551008,-0.230383027685821,-0.0793888155762422
4.25,0.84,4.5402930281324,5.33639505149986,-0.221770592085148,-0.0523485200399939
4.75,0.63,4.54015176018128,5.33629161549878,-0.233111777791213,-0.0372951755193225
5.25,1.05,4.5405819350018,5.33658055393085,-0.252440074408725,-0.0306348075183208
5.75,0.84,4.54155859610698,5.33731896916051,-0.269806372862934,-0.0269800572029016
6.25,1.26,4.54305507970824,5.33852034092857,-0.276617786308196,-0.0187276197731083
6.75,1.05,4.54493749036114,5.34007260685014,-0.261044364813689,0.00112304255799211
7.25,1.47,4.54699550288139,5.34174168214678,-0.21544385353241,0.0315559387956574
7.75,1.26,4.54877696126061,5.34316360737941,-0.138745119092706,0.0644763265851495
8.25,1.68,4.54991618867726,5.34409139360502,-0.0441955289947089,0.09486111301571
8.75,1.47,4.550536053788,5.34464402274715,0.0388728719948422,0.118402734293538
9.25,1.89,4.55112310439068,5.34520013540924,0.088115343632723,0.131735729336907
9.75,1.68,4.55228149664443,5.3462270257647,0.110871162971956,0.143312577061311
10.25,2.1,4.55434143289933,5.34797042202374,0.127226606802647,0.163008598787809
10.75,1.89,4.55712749753474,5.35029863129994,0.149685348781891,0.195427205344898
11.25,2.31,4.5600484160415,5.3527980384288,0.175199599200679,0.235533567563737
11.75,2.1,4.56264043503927,5.35513186424969,0.195886948491365,0.27284827627707
12.25,2.52,4.5648837916441,5.35727940345764,0.210073038532601,0.300624880155663
12.75,2.31,4.56698645892219,5.3594060152678,0.222654232338058,0.320902826776252
13.25,2.73,4.56910879140755,5.36169600920581,0.240165845647371,0.343456446145859
13.75,2.52,4.57120472329203,5.36416646088923,0.271274499261522,0.37868813666137
14.25,2.94,4.57325207858533,5.36681704565932,0.318863247221421,0.428821730742911
14.75,2.73,4.57542970322921,5.36971789349681,0.374039310124466,0.482920997748319
15.25,3.15,4.57798469906615,5.37297353502688,0.424291317774195,0.528889676691287
15.75,2.94,4.58102637594489,5.37667836240048,0.460649025639747,0.562964194643645
16.25,3.36,4.58460403934348,5.38092246301625,0.48680545344691,0.592694235222392
