TIME_s,R1_Ω,MYO1_mV,R2_Ω,MYO2_mV,APPARENT_07_21_RHO_Ω·m,APPARENT_35_21_RHO_Ω·m,CCR_Ω
0.0,123.984,0.307,204.216,0.583,5.453,5.988,4032.0
0.001,123.987,-0.174,204.22,-0.032,5.453,5.988,4032.0
0.002,123.989,-0.424,204.223,-0.777,5.453,5.988,4032.0
0.003,123.991,0.127,204.226,-0.51,5.453,5.988,4033.0
0.004,123.993,0.197,204.229,-0.12,5.453,5.988,4033.0
0.005,123.995,-0.076,204.233,0.217,5.454,5.988,4033.0
0.006,123.997,0.072,204.236,0.494,5.454,5.989,4033.0
0.007,124.0,0.048,204.239,0.394,5.454,5.989,4033.0
0.008,124.002,-0.038,204.243,0.212,5.454,5.989,4033.0
0.009,124.004,-0.085,204.246,-0.013,5.454,5.989,4033.0
0.01,124.006,-0.281,204.25,-0.551,5.454,5.989,4033.0
0.011,124.008,0.058,204.255,-0.417,5.454,5.989,4033.0
0.012,124.011,0.302,204.259,0.236,5.454,5.989,4033.0
0.013,124.013,-0.029,204.263,0.033,5.454,5.989,4033.0
0.014,124.015,-0.017,204.268,-0.087,5.454,5.989,4034.0
0.015,124.017,0.021,204.272,0.156,5.455,5.99,4034.0
0.016,124.02,-0.128,204.276,-0.07,5.455,5.99,4034.0
0.017,124.022,-0.053,204.281,-0.066,5.455,5.99,4034.0
0.018,124.024,-0.021,204.285,0.074,5.455,5.99,4034.0
0.019,124.027,0.064,204.29,0.149,5.455,5.99,4034.0
0.02,124.028,0.204,204.29,0.456,5.455,5.99,4034.0
0.021,124.029,-0.117,204.291,0.069,5.455,5.99,4034.0
0.022,124.03,-0.331,204.292,-0.624,5.455,5.99,4034.0
0.023,124.031,0.108,204.293,-0.439,5.455,5.99,4034.0
0.024,124.032,0.2,204.294,-0.089,5.455,5.99,4034.0
0.025,124.034,-0.061,204.295,0.098,5.455,5.99,4034.0
0.026,124.035,0.053,204.296,0.354,5.455,5.99,4034.0
0.027,124.036,0.048,204.297,0.311,5.455,5.99,4034.0
0.028,124.037,-0.037,204.298,0.155,5.455,5.99,4034.0
0.029,124.038,-0.061,204.299,0.017,5.455,5.99,4034.0
0.03,124.04,-0.205,204.3,-0.293,5.456,5.99,4034.0
0.031,124.042,0.012,204.302,-0.285,5.456,5.99,4034.0
0.032,124.043,0.209,204.303,0.107,5.456,5.99,4034.0
0.033,124.045,-0.012,204.304,0.011,5.456,5.991,4034.0
0.034,124.047,-0.015,204.306,-0.124,5.456,5.991,4035.0
0.035,124.049,0.025,204.307,0.1,5.456,5.991,4035.0
0.036,124.05,-0.113,204.309,-0.051,5.456,5.991,4035.0
0.037,124.052,-0.037,204.31,-0.041,5.456,5.991,4035.0
0.038,124.054,-0.008,204.312,0.09,5.456,5.991,4035.0
0.039,124.056,0.04,204.313,0.103,5.456,5.991,4035.0
0.04,124.056,0.219,204.314,0.376,5.456,5.991,4035.0
0.041,124.057,-0.079,204.315,0.035,5.456,5.991,4035.0
0.042,124.058,-0.302,204.316,-0.477,5.456,5.991,4035.0
0.043,124.059,0.073,204.317,-0.334,5.456,5.991,4035.0
0.044,124.06,0.142,204.317,-0.107,5.456,5.991,4035.0
0.045,124.061,-0.058,204.318,0.117,5.456,5.991,4035.0
0.046,124.062,0.045,204.319,0.284,5.457,5.991,4035.0
0.047,124.063,0.044,204.32,0.277,5.457,5.991,4035.0
0.048,124.063,-0.032,204.321,0.156,5.457,5.991,4035.0
0.049,124.064,-0.03,204.322,-0.036,5.457,5.991,4035.0
0.05,124.065,-0.159,204.321,-0.315,5.457,5.991,4035.0
0.051,124.065,0.002,204.321,-0.289,5.457,5.991,4035.0
0.052,124.066,0.191,204.32,0.132,5.457,5.991,4035.0
0.053,124.066,-0.025,204.319,0.037,5.457,5.991,4035.0
0.054,124.067,-0.035,204.319,-0.099,5.457,5.991,4035.0
0.055,124.067,0.024,204.318,0.12,5.457,5.991,4035.0
0.056,124.068,-0.082,204.318,0.006,5.457,5.991,4035.0
0.057,124.068,-0.032,204.317,0.002,5.457,5.991,4035.0
0.058,124.068,-0.005,204.316,0.089,5.457,5.991,4035.0
0.059,124.069,0.06,204.316,0.054,5.457,5.991,4035.0
0.06,124.068,0.157,204.314,0.187,5.457,5.991,4034.0
0.061,124.068,-0.096,204.312,-0.025,5.457,5.991,4034.0
0.062,124.067,-0.241,204.31,-0.382,5.457,5.991,4034.0
0.063,124.066,0.063,204.309,-0.233,5.457,5.991,4034.0
0.064,124.066,0.13,204.307,-0.02,5.457,5.991,4034.0
0.065,124.065,-0.037,204.305,0.092,5.457,5.991,4034.0
0.066,124.064,0.042,204.303,0.26,5.457,5.99,4034.0
0.067,124.064,0.043,204.301,0.206,5.457,5.99,4034.0
0.068,124.063,-0.035,204.299,0.103,5.457,5.99,4034.0
0.069,124.062,-0.048,204.298,-0.01,5.457,5.99,4034.0
0.07,124.062,-0.138,204.298,-0.286,5.457,5.99,4034.0
0.071,124.061,0.019,204.298,-0.21,5.456,5.99,4034.0
0.072,124.06,0.159,204.298,0.09,5.456,5.99,4034.0
0.073,124.059,-0.015,204.299,0.029,5.456,5.99,4034.0
0.074,124.059,-0.02,204.299,-0.043,5.456,5.99,4034.0
0.075,124.058,0.011,204.299,0.059,5.456,5.99,4034.0
0.076,124.057,-0.06,204.299,-0.028,5.456,5.99,4034.0
0.077,124.056,-0.029,204.3,-0.021,5.456,5.99,4034.0
0.078,124.055,-0.017,204.3,0.11,5.456,5.99,4034.0
0.079,124.055,0.047,204.3,0.078,5.456,5.99,4034.0
0.08,124.054,0.111,204.299,0.168,5.456,5.99,4034.0
0.081,124.054,-0.065,204.298,0.028,5.456,5.99,4034.0
0.082,124.053,-0.168,204.297,-0.347,5.456,5.99,4034.0
0.083,124.052,0.049,204.296,-0.244,5.456,5.99,4034.0
0.084,124.052,0.094,204.295,-0.015,5.456,5.99,4034.0
0.085,124.051,-0.027,204.294,0.074,5.456,5.99,4034.0
0.086,124.051,0.052,204.293,0.196,5.456,5.99,4034.0
0.087,124.05,0.026,204.292,0.18,5.456,5.99,4034.0
0.088,124.049,-0.03,204.291,0.093,5.456,5.99,4034.0
0.089,124.049,-0.045,204.29,-0.006,5.456,5.99,4034.0
0.09,124.048,-0.151,204.29,-0.199,5.456,5.99,4034.0
0.091,124.047,0.014,204.29,-0.183,5.456,5.99,4034.0
0.092,124.047,0.14,204.29,0.058,5.456,5.99,4034.0
0.093,124.046,0.003,204.291,0.021,5.456,5.99,4034.0
0.094,124.045,0.027,204.291,-0.044,5.456,5.99,4034.0
0.095,124.044,0.021,204.291,0.081,5.456,5.99,4034.0
0.096,124.043,-0.079,204.291,0.015,5.456,5.99,4034.0
0.097,124.043,-0.035,204.292,-0.032,5.456,5.99,4034.0
0.098,124.042,-0.016,204.292,0.011,5.456,5.99,4034.0
0.099,124.041,0.015,204.292,0.073,5.456,5.99,4034.0
0.1,124.04,0.101,204.292,0.157,5.456,5.99,4034.0
0.101,124.039,-0.043,204.292,-0.034,5.456,5.99,4034.0
0.102,124.038,-0.153,204.293,-0.236,5.455,5.99,4034.0
0.103,124.037,0.061,204.293,-0.167,5.455,5.99,4034.0
0.104,124.036,0.089,204.293,-0.03,5.455,5.99,4034.0
0.105,124.035,-0.045,204.293,0.062,5.455,5.99,4034.0
0.106,124.034,0.027,204.293,0.154,5.455,5.99,4034.0
0.107,124.033,0.03,204.294,0.197,5.455,5.99,4034.0
0.108,124.032,0.014,204.294,0.109,5.455,5.99,4034.0
0.109,124.031,-0.014,204.294,-0.008,5.455,5.99,4034.0
0.11,124.031,-0.155,204.295,-0.226,5.455,5.99,4034.0
0.111,124.031,-0.017,204.296,-0.238,5.455,5.99,4034.0
0.112,124.031,0.12,204.298,0.075,5.455,5.99,4034.0
0.113,124.031,-0.001,204.299,0.058,5.455,5.99,4034.0
0.114,124.031,0.0,204.3,-0.042,5.455,5.99,4034.0
0.115,124.031,0.011,204.301,0.068,5.455,5.99,4034.0
0.116,124.031,-0.044,204.302,-0.002,5.455,5.99,4034.0
0.117,124.031,0.0,204.304,-0.038,5.455,5.991,4034.0
0.118,124.031,-0.002,204.305,0.067,5.455,5.991,4034.0
0.119,124.031,0.001,204.306,0.098,5.455,5.991,4034.0
0.12,124.032,0.083,204.307,0.133,5.455,5.991,4034.0
0.121,124.033,-0.035,204.307,-0.024,5.455,5.991,4034.0
0.122,124.034,-0.127,204.307,-0.269,5.455,5.991,4034.0
0.123,124.035,0.037,204.308,-0.15,5.455,5.991,4034.0
0.124,124.036,0.056,204.308,0.003,5.455,5.991,4034.0
0.125,124.037,-0.019,204.309,0.05,5.455,5.991,4034.0
0.126,124.038,0.011,204.309,0.147,5.455,5.991,4033.0
