"TIME","POSITION","R1","R2","CCR"
0,0.21,143.494,213.63,4700
0.001,0.21,143.492,213.628,4700
0.002,0.21,143.489,213.627,4700
0.003,0.21,143.487,213.625,4700
0.004,0.21,143.485,213.624,4700
0.005,0.21,143.483,213.622,4700
0.006,0.21,143.48,213.621,4700
0.007,0.21,143.478,213.619,4700
0.008,0.21,143.476,213.618,4700
0.009,0.21,143.474,213.617,4700
0.01,0.21,143.47,213.613,4700
0.011,0.21,143.467,213.61,4700
0.012,0.21,143.464,213.606,4700
0.013,0.21,143.461,213.603,4700
0.014,0.21,143.458,213.599,4700
0.015,0.21,143.455,213.596,4700
0.016,0.21,143.452,213.592,4700
0.017,0.21,143.449,213.589,4700
0.018,0.21,143.446,213.585,4700
0.019,0.21,143.443,213.582,4700
0.02,0.21,143.442,213.581,4700
0.021,0.21,143.442,213.581,4700
0.022,0.21,143.441,213.58,4700
0.023,0.21,143.44,213.58,4700
0.024,0.21,143.44,213.58,4700
0.025,0.21,143.439,213.579,4700
0.026,0.21,143.439,213.579,4700
0.027,0.21,143.438,213.578,4700
0.028,0.21,143.437,213.578,4700
0.029,0.21,143.437,213.578,4700
0.03,0.21,143.436,213.577,4700
0.031,0.21,143.435,213.576,4700
0.032,0.21,143.435,213.575,4700
0.033,0.21,143.434,213.575,4700
0.034,0.21,143.434,213.574,4700
0.035,0.21,143.433,213.573,4700
0.036,0.21,143.432,213.573,4700
0.037,0.21,143.432,213.572,4700
0.038,0.21,143.431,213.571,4700
0.039,0.21,143.43,213.571,4700
0.04,0.21,143.431,213.571,4700
0.041,0.21,143.431,213.571,4700
0.042,0.21,143.431,213.571,4700
0.043,0.21,143.432,213.572,4700
0.044,0.21,143.432,213.572,4700
0.045,0.21,143.433,213.572,4700
0.046,0.21,143.433,213.573,4700
0.047,0.21,143.433,213.573,4700
0.048,0.21,143.434,213.573,4700
0.049,0.21,143.434,213.574,4700
0.05,0.21,143.436,213.574,4700
0.051,0.21,143.438,213.575,4700
0.052,0.21,143.439,213.576,4700
0.053,0.21,143.441,213.577,4700
0.054,0.21,143.443,213.578,4700
0.055,0.21,143.444,213.579,4700
0.056,0.21,143.446,213.58,4700
0.057,0.21,143.448,213.581,4700
0.058,0.21,143.449,213.582,4700
0.059,0.21,143.451,213.583,4700
0.06,0.21,143.453,213.584,4700
0.061,0.21,143.455,213.586,4700
0.062,0.21,143.457,213.588,4700
0.063,0.21,143.459,213.59,4700
0.064,0.21,143.461,213.592,4700
0.065,0.21,143.462,213.594,4700
0.066,0.21,143.464,213.596,4700
0.067,0.21,143.466,213.598,4700
0.068,0.21,143.468,213.6,4700
0.069,0.21,143.47,213.602,4700
0.07,0.21,143.472,213.605,4700
0.071,0.21,143.474,213.608,4700
0.072,0.21,143.475,213.611,4700
0.073,0.21,143.477,213.614,4700
0.074,0.21,143.479,213.617,4700
0.075,0.21,143.481,213.619,4700
0.076,0.21,143.483,213.622,4700
0.077,0.21,143.485,213.625,4700
0.078,0.21,143.486,213.628,4700
0.079,0.21,143.488,213.631,4700
0.08,0.21,143.489,213.634,4700
0.081,0.21,143.49,213.636,4700
0.082,0.21,143.491,213.639,4700
0.083,0.21,143.491,213.641,4700
0.084,0.21,143.492,213.644,4700
0.085,0.21,143.493,213.646,4700
0.086,0.21,143.493,213.649,4700
0.087,0.21,143.494,213.651,4700
0.088,0.21,143.495,213.654,4700
0.089,0.21,143.496,213.657,4700
0.09,0.21,143.497,213.66,4700
0.091,0.21,143.499,213.664,4700
0.092,0.21,143.5,213.667,4700
0.093,0.21,143.502,213.671,4700
0.094,0.21,143.503,213.675,4700
0.095,0.21,143.505,213.678,4700
0.096,0.21,143.506,213.682,4700
0.097,0.21,143.508,213.685,4700
0.098,0.21,143.509,213.689,4700
0.099,0.21,143.511,213.693,4700
0.1,0.21,143.514,213.699,4700
0.101,0.21,143.517,213.705,4700
0.102,0.21,143.521,213.712,4700
0.103,0.21,143.524,213.718,4700
0.104,0.21,143.528,213.724,4700
0.105,0.21,143.531,213.731,4700
0.106,0.21,143.534,213.737,4700
0.107,0.21,143.538,213.743,4700
0.108,0.21,143.541,213.75,4700
0.109,0.21,143.544,213.756,4700
0.11,0.21,143.549,213.766,4700
0.111,0.21,143.554,213.775,4700
0.112,0.21,143.559,213.785,4700
0.113,0.21,143.564,213.794,4700
0.114,0.21,143.569,213.804,4700
