TIME,POSITION,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF
4.25,0.84,4.8665907247073665,0.009905670906035365,4.91116683251842,0.01204296152091479,1.609020049932809,0.8387001573986561,0.08124664553760547,0.5246563741933762
5.25,1.05,4.868781483462492,0.010775672953640993,4.900833000890506,0.013333326878973992,1.4333177505123942,1.0189086301156105,0.0816033084440661,1.0293880672004752
6.25,1.26,4.876271726473471,0.01077808677507255,4.886452276246775,0.013686947635190412,0.9765107868436046,1.761524048526017,0.08216815436987286,5.492627887151451
7.25,1.47,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
8.25,1.68,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
9.25,1.89,4.933033603907328,0.007211165383582047,4.906921676570114,0.008718680446563116,1.529138621580255,0.9228689170630354,0.08132267487624138,0.7224424863894372
10.25,2.1,4.967908719091245,0.00639929917078773,4.922112076865098,0.007375440719746777,1.8264329788648443,0.6675880229436244,0.08081609264012554,0.33231112097771803
11.25,2.31,4.996749380191862,0.005619662614050858,4.9359795316597035,0.006207332712859037,2.0052691889585272,0.5490819027154094,0.08047180329308316,0.28806710638862637
12.25,2.52,5.0268931389640645,0.004849263145714776,4.951183025177719,0.005097386824207951,2.1610797694924577,0.4616515152069016,0.0802415395407704,0.2877436139699222
13.25,2.73,5.062078561460254,0.004094501300505759,4.968958227152224,0.004028652532819403,2.315776420236964,0.38667935268649845,0.08019511179444484,0.27470138810841266
14.25,2.94,5.057112981685372,0.004908769881509451,4.942361117067139,0.005096408215995149,2.4866004683693395,0.3151970864393557,0.08061222994843097,0.2502493225499703
15.25,3.15,5.0607161913054615,0.005453747153515395,4.921018700592424,0.0058555293720259916,2.65571695135505,0.25412275784180527,0.08121499016770824,0.2237815019804148
16.25,3.36,5.070390610634761,0.005667087679895158,4.905913700082289,0.006203722051276472,2.8013542479704023,0.20801020615806864,0.08178830775931822,0.19930857073077565
17.25,3.57,5.084162739163063,0.005663985974651281,4.894474399416933,0.006279202703485808,2.930375039239333,0.17144903502433737,0.08229819596379731,0.1744056276600523
18.25,3.78,5.101665338906628,0.005493021534207612,4.884590568550331,0.006146005185854701,3.052932052920439,0.13997786149280253,0.08276265353837706,0.1498069528823578
19.25,3.99,5.121489295427856,0.005081934821679196,4.875297428451482,0.00573148238633628,3.1779821251343208,0.11075148065522426,0.08321711906281097,0.13897242971238527
20.25,4.2,5.140496623932863,0.00431897543600697,4.866640045869172,0.0049143827210272354,3.3118270350548755,0.0823369634121876,0.08371679556778822,0.15647979429611483
21.25,4.41,5.1564334430850085,0.0034494772143399605,4.862811269482278,0.003960744621766814,3.427428834793859,0.05993114467856314,0.0842046616492299,0.2055060099056685
22.25,4.62,5.17022093053784,0.002743322635096518,4.865232943057969,0.003175880503076269,3.510465549514061,0.04494662466849706,0.08467567509316695,0.2776267322608197
23.25,4.83,5.185053318405103,0.0020203521940867397,4.866327391468735,0.002363397012999581,3.5945779130574027,0.030620322350923292,0.08537905713523054,0.35031255853206084
24.25,5.04,5.177171363210947,4.131039223753814E-4,4.817984815296883,5.35211877925016E-4,3.7732180447187753,0.0027063049868130944,0.08845107056550415,0.39056896048961054
25.25,5.25,5.265077550724225,0.0029619806066082228,4.811556135852318,0.003354373240052229,4.085722474472096,0.039198373199453615,0.08657505345851278,0.37329315837419275
26.25,5.46,5.318236375963136,0.008443408639988279,4.714837252484569,0.009654068918915673,4.501534834817981,0.084415510562479,0.08731766902129975,0.31506649015847177
27.25,5.67,5.389691602098217,0.015334749783743724,4.58858977485046,0.017393370668350342,4.92495619369075,0.1218334769666345,0.08759585612118678,0.23592852705170256
28.25,5.88,5.464658390282469,0.021810181547759662,4.46706565671791,0.02431247093196956,5.243016963136394,0.14603921821587879,0.08809394328453898,0.17115227718128093
29.25,6.09,5.522018972847892,0.02640503098972528,4.379974186361549,0.028922527697530495,5.4204897836341255,0.15857021487391196,0.08895134997412481,0.1346160256615921
30.25,5.88,5.548445228964175,0.028753321946663822,4.331087832669103,0.031144227861735242,5.489388291331296,0.16336809149092552,0.08961533421464207,0.11820184015559004
31.25,5.67,5.547269105963359,0.029513827799696093,4.304837093914609,0.031816186243046427,5.50071378550459,0.16424633193599408,0.08986497980147386,0.11106679523453866
32.25,5.46,5.529307119039469,0.028831524436321688,4.304038784741034,0.03105098348713238,5.444836151196697,0.16068544965802387,0.0894063523626231,0.10457281798521406
33.25,5.25,5.5037191852496745,0.02618392336641401,4.345084841781752,0.028206764029687633,5.2711715366048715,0.14902555462289854,0.08791541505643491,0.09434231688043505
34.25,5.04,5.477384004652325,0.019761409953490558,4.457358519312064,0.021227153693429965,4.865227197570443,0.11862145723418314,0.0847205147879205,0.0847241341580061
35.25,4.83,5.443917902888229,0.012209568393332223,4.565858977378925,0.01306098831020327,4.442293088842961,0.08046033358039224,0.08163649904759775,0.07469796093401236
36.25,4.62,5.394261795026323,0.007623314263752935,4.620541081637634,0.00817378368196467,4.21942566298624,0.05654942646922966,0.07998817792821093,0.06427252816169017
37.25,4.41,5.342355146044332,0.0037361356185974044,4.669070596971957,0.003994245651139573,4.0227291291688685,0.03275377667513676,0.07852577311933187,0.058424020711215385
38.25,4.2,5.244069878802712,3.957052692456917E-4,4.679478827074918,4.867892384009823E-4,3.7963950590332693,0.0017407714523278355,0.0794575157450585,0.05288286447790287
39.25,3.99,5.218816606252153,0.004203775597499611,4.766214959600912,0.004706698511303229,3.5033090760281524,0.045659169477402346,0.07600577406784326,0.032261263015111855
40.25,3.78,5.165341192399835,0.007308335199395564,4.831713196470382,0.008055771056160406,3.1490336724690247,0.11720801794032797,0.07426055152774144,0.007847849049797679
41.25,3.57,5.119177258172559,0.008113182036038667,4.884867522191823,0.008741235630284071,2.802336803962692,0.2080140069764986,0.0733996752692994,0.023052729627978892
42.25,3.36,5.091898214817744,0.007147310400392422,4.9204259605076315,0.007449018635867672,2.5529841409493264,0.29064602076280543,0.0737328295307735,0.006838137458747292
43.25,3.15,5.060813592623234,0.0057827986629303005,4.919625782859081,0.006112208743722085,2.5820744666712376,0.27976675700844483,0.07521732083257697,0.08840338120930577
44.25,2.94,5.051273248558719,0.005194702895010947,4.927968884498185,0.005438925700652484,2.5251523992424616,0.30052778925468243,0.0765740802770051,0.17116948587763609
45.25,2.73,5.052259087001563,0.00445347486670912,4.950229471584763,0.004486982047241462,2.38582600527903,0.35606316186611836,0.07750348725483316,0.24323917669854056
46.25,2.52,5.022250353357316,0.004777474369993863,4.947986651340966,0.005026937776617315,2.159004988336674,0.4627007662815293,0.07829310182907609,0.3567020398103338
47.25,2.31,4.967175628208515,0.0061898828731702295,4.924728155725666,0.007163420312559206,1.8074157813318061,0.6814160944292426,0.07924750740337635,0.6960084901269243
48.25,2.1,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
49.25,1.89,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
50.25,1.68,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
51.25,1.47,4.881488302985616,0.010330049533886096,4.915898996309262,0.012719572525509778,1.4812456638909042,0.965905346739207,0.08024096007184911,0.5297555686333754
52.25,1.26,4.879946006879904,0.009369853785518068,4.930078025329032,0.011279185296003089,1.6830495947597484,0.7734556360626116,0.0798345451245127,0.3112696681092572
53.25,1.05,4.879990880938639,0.009025263431420918,4.9361632206547545,0.010764515279771666,1.747623599473745,0.720776104874344,0.07968917918996389,0.27904987897866884
54.25,1.05,4.880525221716675,0.009393898820965266,4.931452662123406,0.011299955626010947,1.6886273840311923,0.7687314655803245,0.07987795620302283,0.3444906289072403
55.25,1.26,4.881949565838973,0.010266827266617665,4.919683477732187,0.012591803058554292,1.5228536472575258,0.9222715516338412,0.0803261525088924,0.5747956794415762
56.25,1.47,4.8873861880948635,0.010983540327980863,4.9012335409158965,0.013879486820865207,1.0851670366597541,1.5329377605904477,0.08108596968371573,2.453833995213642
57.25,1.68,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
58.25,1.89,4.911705095008874,0.007331215467369057,4.902389282306305,0.009209141348122058,1.093216193604793,1.524737173728353,0.08109774593318528,3.3831301207600695
59.25,2.1,4.974106622576006,0.006369171259775701,4.928652164643215,0.0073417619382886564,1.8251413343645944,0.668509146453237,0.080080026519167,0.3690247352602463
60.25,2.31,5.015491215139563,0.005362086548072588,4.946361049733819,0.00579109324582902,2.08052803009164,0.5052528822630601,0.07961943535588922,0.21632667216952575
61.25,2.52,5.046907134526684,0.004664061945306419,4.961097187159561,0.004770966810999549,2.2296645076616537,0.4271483697975022,0.0793882473968607,0.18545589844390284
62.25,2.73,5.067429000210309,0.004418686743945971,4.966195383262199,0.0043991832902123915,2.355853615430057,0.36897761494542425,0.07933616808751626,0.17748634545398456
63.25,2.94,5.066308193273039,0.005236039502736165,4.942534799513882,0.00546823031243357,2.5162361131349273,0.3039023428186015,0.07961303463647298,0.15373199741315607
64.25,3.15,5.075598616798001,0.005868089902508973,4.921837264599317,0.006316271924353187,2.6868209403805086,0.2438661749449949,0.0800384849654002,0.1177341042926405
65.25,3.36,5.093342900523927,0.0063776394704755865,4.912853152346382,0.006928278852011652,2.7771515619072296,0.21539668072826168,0.0802466345360929,0.08395372282025981
