TIME,POSITION,rho1,rho2,h,RMS_BASE,RMS_DIFF
5.25,-0.63,4.550855673032164,4.701928042249263,5.465141025350678,0.021198409839995522,0.021198409848566052
5.75,-0.42,4.547416084405632,4.714873501914059,5.722494239228907,0.021127945840652876,0.021127945856645024
6.25,-0.84,4.54483367190252,4.726077702477471,5.92523798264265,0.021065680508047222,0.021065680540761512
6.75,-0.63,4.542419563578375,4.737930296092743,6.116793220218399,0.021000079707846904,0.02100007971267916
7.25,-1.05,4.540859458449015,4.746943077231193,6.271588528077716,0.02096122410675754,0.0209612240784814
7.75,-0.84,4.539637626279944,4.753572879835037,6.349336281577039,0.020899339162022076,0.020899339112144612
8.25,-1.26,4.539038023774825,4.7570853679928415,6.391601271533022,0.020859724771112625,0.02085972474660737
8.75,-1.05,4.538359351824876,4.7603562919109885,6.401655546954663,0.020799306933959386,0.020799306952149328
9.25,-1.47,4.538460942341839,4.75825300905324,6.324350297149663,0.02074484972080496,0.02074484967059155
9.75,-1.26,4.538685203958671,4.7554203615724635,6.230789535028974,0.02069248176788323,0.02069248175767652
10.25,-1.68,4.538974206860383,4.751607079339019,6.100997880428638,0.020628884732207368,0.020628884737969547
10.75,-1.47,4.538913177743308,4.7488283237876985,5.9575993834511065,0.020543046297338517,0.02054304632215186
11.25,-1.89,4.53859742003877,4.747838033817775,5.851287006045986,0.02046565071841435,0.02046565074902683
11.75,-1.68,4.5376494294989325,4.7503093657198425,5.797068979592136,0.0203782066426562,0.02037820658739527
12.25,-2.1,4.5362844539928915,4.755576720751665,5.792420682952306,0.020287580107690273,0.02028758012498654
12.75,-1.89,4.534389300619145,4.76483330687092,5.851009241816509,0.0201877439512809,0.020187744014416534
13.25,-2.31,4.531960016638242,4.778691311122626,5.968834254151169,0.02007190091832143,0.020071900895786213
13.75,-2.1,4.52907254915781,4.797769048943723,6.141372046558812,0.01993660000118179,0.019936599975071877
14.25,-2.52,4.526364783210959,4.818826623033089,6.327809653957835,0.019801882604018693,0.019801882596378058
14.75,-2.31,4.523669060913269,4.8427280873193785,6.525152972685289,0.019656421816089165,0.019656421845551334
15.25,-2.73,4.521375968880183,4.866599262427461,6.70957514543506,0.019518726547138744,0.019518726553738316
15.75,-2.52,4.519557739853177,4.889846022492948,6.884578912399119,0.019398756345092475,0.019398756351131752
16.25,-2.94,4.518414143298808,4.909584311364866,7.03268697870797,0.01931149132248993,0.01931149133968841
16.75,-2.73,4.517768223468987,4.923400024707819,7.11958075502209,0.019239575604708854,0.019239575611407236
17.25,-3.15,4.51784081480519,4.929282492312476,7.146517935307351,0.019203022888469777,0.019203022880851583
17.75,-2.94,4.5183425554594105,4.929583219542414,7.127454904283943,0.01918335679991245,0.01918335682715218
18.25,-3.36,4.519558092778327,4.918528496747261,7.005469988835904,0.019188191817216024,0.01918819182626837
18.75,-3.15,4.521098210777996,4.902190005014324,6.823114316634115,0.01919739603635097,0.01919739604186091
19.25,-3.57,4.522820469322882,4.884236250470281,6.612920071517768,0.019207366981646715,0.019207366953483775
19.75,-3.36,4.52442510007904,4.866735633986583,6.381151765309849,0.01920037950645525,0.019200379538324562
20.25,-3.78,4.526197241246051,4.849771437515449,6.1489552322848535,0.019200719134099403,0.01920071912261184
20.75,-3.57,4.527881980662389,4.835091949260922,5.929380033830112,0.01919550571282824,0.019195505758010805
21.25,-3.99,4.5295384266245495,4.8219872110525275,5.7188893786250645,0.01918888169613551,0.01918888171494549
21.75,-3.78,4.531219859727826,4.810373719279857,5.52251264806942,0.019184353246076664,0.019184353307884244
22.25,-4.2,4.533177904840686,4.798380105780246,5.320253035311704,0.0191931477911446,0.019193147827595316
22.75,-3.99,4.535241416352683,4.7861543763116385,5.102933581379448,0.01920697984378506,0.019206979857298453
23.25,-4.41,4.537906497151857,4.772552332599073,4.868209669355051,0.019249615204783046,0.019249615206370026
