TIME_s,R1_Ω,MYO1_mV,R2_Ω,MYO2_mV,APPARENT_06_18_RHO_Ω·m,APPARENT_30_18_RHO_Ω·m,CCR_Ω
0.0,26.941,0.18,46.278,-0.035,1.016,1.163,581.0
0.001,26.941,-0.157,46.278,0.034,1.016,1.163,581.0
0.002,26.941,-0.159,46.278,0.034,1.016,1.163,581.0
0.003,26.941,-0.692,46.278,0.139,1.016,1.163,581.0
0.004,26.941,-0.692,46.278,0.138,1.016,1.163,581.0
0.005,26.94,0.708,46.278,-0.145,1.016,1.163,581.0
0.006,26.94,0.708,46.278,-0.144,1.016,1.163,581.0
0.007,26.94,0.19,46.278,-0.037,1.016,1.163,581.0
0.008,26.94,0.191,46.278,-0.04,1.016,1.163,581.0
0.009,26.94,-0.118,46.278,0.027,1.016,1.163,581.0
0.01,26.94,-0.118,46.278,0.026,1.016,1.163,581.0
0.011,26.94,-0.19,46.278,0.035,1.016,1.163,581.0
0.012,26.94,-0.189,46.278,0.037,1.016,1.163,581.0
0.013,26.941,-0.077,46.278,0.013,1.016,1.163,581.0
0.014,26.941,-0.079,46.277,0.02,1.016,1.163,581.0
0.015,26.941,0.104,46.277,-0.018,1.016,1.163,581.0
0.016,26.941,0.105,46.277,-0.026,1.016,1.163,581.0
0.017,26.941,0.211,46.277,-0.044,1.016,1.163,581.0
0.018,26.941,0.211,46.277,-0.042,1.016,1.163,581.0
0.019,26.941,0.144,46.277,-0.03,1.016,1.163,581.0
0.02,26.941,0.144,46.277,-0.026,1.016,1.163,581.0
0.021,26.941,-0.128,46.277,0.031,1.016,1.163,581.0
0.022,26.941,-0.126,46.277,0.024,1.016,1.163,581.0
0.023,26.941,-0.558,46.277,0.11,1.016,1.163,581.0
0.024,26.941,-0.559,46.277,0.11,1.016,1.163,581.0
0.025,26.941,0.568,46.277,-0.118,1.016,1.163,581.0
0.026,26.94,0.57,46.277,-0.111,1.016,1.163,581.0
0.027,26.94,0.155,46.277,-0.032,1.016,1.163,581.0
0.028,26.94,0.153,46.277,-0.032,1.016,1.163,581.0
0.029,26.94,-0.094,46.277,0.021,1.016,1.163,581.0
0.03,26.94,-0.094,46.276,0.017,1.016,1.163,581.0
