TIME,POSITION,R1,R2,CCR,ANGLE,A1,A2,DA1,DA2,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF,PREDICTED_R1,PREDICTED_DIFF_R1,CONTRIBUTION_RHO1_1,CONTRIBUTION_RHO2_1,CONTRIBUTION_H_1,PREDICTED_R2,PREDICTED_DIFF_R2,CONTRIBUTION_RHO1_2,CONTRIBUTION_RHO2_2,CONTRIBUTION_H_2
4.25,-0.105,118.091,163.644,3738,0.657968867750071,5.20137456325681,4.80790869971111,1.70014861469655,2.16804594972192,5.39263675563272,0.015371143243613154,4.524087619066853,0.016949363246898656,4.752078445708007,0.10844385003614763,0.029029202399759816,0.15665038488376506,115.08419180671864,NaN,NaN,NaN,NaN,169.11129236614457,NaN,NaN,NaN,NaN
5.75,0,118.26,163.944,3734,1.230863840285,5.19995134833688,4.80623008964404,1.71882968609338,2.23852088019079,5.4017679904980005,0.01689177881029697,4.495079916492977,0.01859805848801565,4.835204157088353,0.11550835302811074,0.028553719853116694,0.16364871473108733,115.13042067968034,0.04622887296170575,0.12430980187596674,-0.2675974727273456,0.1814640028541561,169.00342307243088,-0.1078692937136907,0.14892883746577468,-0.5210443501764814,0.25329782241286125
7.25,-0.105,117.991,163.479,3728,1.95168917474122,5.19831067905415,4.80325284215577,1.76962716294439,2.31316030114648,5.414423677052601,0.018850255884993117,4.455903953864327,0.020688377210075798,4.9353559011095705,0.12371894686964884,0.02801727558044925,0.1616436750778994,115.18532531192623,0.05490463224589348,0.17451361720094383,-0.35496197166594357,0.22252111939548058,168.84764460557182,-0.15577846685906138,0.20932447923530617,-0.6954596286114736,0.31282217490152675
8.75,0,118.196,163.683,3720,2.80194158164505,5.1962224295241,4.79840296833438,1.77654260412437,2.27189174017286,5.406693658046812,0.018125287702210155,4.46587370302443,0.01990269320688489,4.893876038286018,0.12039197194443779,0.028550129723056917,0.15271574100044974,115.07012610731269,-0.11519920461354616,-0.10822941577791312,0.08807978466049349,-0.09684281998697486,168.757709781449,-0.08993482412282106,-0.1300244884853896,0.1739730809635205,-0.13633728820019542
10.25,-0.105,117.909,163.123,3715,3.7631177715228,5.19248671446698,4.79222416387337,1.70599403484186,2.16320509797352,5.380592099620819,0.015452167067389874,4.5106460856174415,0.017042653058477065,4.757282705805763,0.108901541482359,0.02975948530847962,0.15371887016957217,114.80793512419702,-0.2621909831156728,-0.3633745114858016,0.3983453704840372,-0.3211798482778647,168.68974783727543,-0.06796194417356105,-0.43634955154246313,0.7846062020282147,-0.4488271292543118
11.75,0,117.902,163.134,3711,4.81671445490079,5.18786837397243,4.78635581642493,1.58639651356336,2.00705561425531,5.343227839102688,0.01165714043407787,4.573271448288325,0.012924916865916649,4.556461841410291,0.09065343444013756,0.0312500792756621,0.1601172255351921,114.46608692497166,-0.34184819922535326,-0.5098560846510338,0.57332247765045,-0.4572629531444363,168.63555364108518,-0.05419419619025234,-0.6112075330860876,1.117970477654012,-0.6307394169300267
13.25,-0.105,117.719,162.803,3704,5.94071030435698,5.1846474164939,4.78287285619631,1.50488723371601,1.92809604157497,5.321368256446217,0.009671110757085313,4.604593568230908,0.010748198898950293,4.447827727460602,0.08000949127565236,0.03201115533483237,0.17029105595518396,114.26564314399955,-0.20044378097210824,-0.2886194604541714,0.3005218337613087,-0.22781528901917625,168.57730450505233,-0.058249136032856086,-0.3449826674232952,0.5770081541325567,-0.31085723773011864
14.75,0,117.845,163.072,3699,7.08969607618855,5.18195968239747,4.78008856064183,1.49061103659718,1.95378237398139,5.319973351231029,0.009984612635056568,4.597360963148469,0.011103599690731325,4.4690565203014305,0.08211030892246862,0.031952351874839496,0.18054424121641247,114.21850412114533,-0.04713902285422478,-0.01806061751331356,-0.07130197672434235,0.041857781164523544,168.4774968024,-0.09980770265232763,-0.021550305542092474,-0.13572506726407596,0.05697531960413471
16.25,-0.105,117.596,162.61,3692,8.20872160777675,5.17764003088096,4.77502534506437,1.5268749123437,1.98927398906941,5.323649255628707,0.010922976118032017,4.576575648631186,0.012137909614373159,4.521810235706472,0.08729320685759094,0.03172605544471637,0.1756197794758276,114.16960650502607,-0.048897616119262466,0.04777908426044064,-0.20402203801046426,0.10379309156695626,168.29201867919153,-0.18547812320846901,0.05702991754890263,-0.38895139266247725,0.1416961538693613
17.75,0,117.624,162.683,3686,9.24280859219923,5.17055064966714,4.76706725954559,1.59365488547358,2.05451129636722,5.3315597948457665,0.01268694159496038,4.538236985044233,0.014071087009582003,4.618259971287567,0.09643083874462481,0.03123811108696092,0.16688768767892104,114.10529376569148,-0.06431273933458215,0.10375117328172223,-0.37233796054093204,0.1922534963354252,167.98352703817326,-0.3084916410182643,0.12392203661346457,-0.7125039849985342,0.2639607620057518
