"TIME","POSITION","RHO_S1","RHO_S1_DIFF","RHO_S2","RHO_S2_DIFF"
145.75,-2.1,7.51357515164103,-0.288613640885815,7.93912261116367,-0.101240609671199
146.25,-2.31,7.51169485006574,-0.280018573119044,7.9392307179791,-0.0885437713065941
146.75,-1.89,7.50989676001647,-0.270971238914384,7.93949249187066,-0.0733486723371443
147.25,-2.1,7.50816698461326,-0.261927132253256,7.93988830500706,-0.0576369366296925
147.75,-1.68,7.50649473161829,-0.251866019602452,7.94040997517807,-0.0385861003316457
148.25,-1.89,7.50487577231216,-0.242827801825315,7.94105502868865,-0.0199000878830271
148.75,-1.47,7.50330595982086,-0.232901515363255,7.94183301514648,0.00199456988485511
149.25,-1.68,7.50178402823246,-0.222060613407448,7.94275089136235,0.0260063296038923
149.75,-1.26,7.50034153367178,-0.20897784315757,7.94385084766892,0.0542864908550139
150.25,-1.47,7.4990059786086,-0.197502140517376,7.94516260850543,0.0836154200778975
150.75,-1.05,7.49777941685526,-0.186185780476081,7.94668781701482,0.11500609421792
151.25,-1.26,7.49667741683424,-0.174185663908997,7.94843517737703,0.149891927140819
151.75,-0.84,7.49574143775158,-0.163704749631332,7.95033680361135,0.186056161363668
152.25,-1.05,7.49501170091764,-0.156180970488993,7.95232132262504,0.222118292591761
152.75,-0.63,7.49448320757599,-0.150968593599691,7.95431350764662,0.2541795220976
153.25,-0.84,7.49416141907593,-0.149274124734807,7.95619991125567,0.283472825578185
153.75,-0.42,7.49404727644936,-0.152235354855881,7.95783844528622,0.303649501366395
154.25,-0.63,7.49414915761112,-0.159295090195733,7.95910403594992,0.316054773291836
154.75,-0.21,7.49447478726501,-0.172875171132665,7.95988811966436,0.315636399248176
155.25,-0.42,7.4950189147769,-0.190794697799744,7.96012980262733,0.303263799727358
155.75,0,7.49577972151294,-0.210336739342552,7.95982817212793,0.281128722240132
156.25,-0.21,7.49675113566861,-0.233578773076011,7.95904502072812,0.248748328014895
156.75,-0.63,7.4978985820469,-0.257722473280581,7.95788210018968,0.208122113025317
157.25,-1.05,7.49918127810916,-0.279838571502286,7.95648425727624,0.16512109791714
157.75,-0.84,7.50056487803366,-0.299337307830296,7.95500622700112,0.120512384613899
158.25,-1.26,7.50202678685973,-0.31538535948532,7.95359957438651,0.0790868949542146
158.75,-1.05,7.5035379159439,-0.329706476840664,7.95236619255746,0.038689924319258
159.25,-1.47,7.50508394399328,-0.340620887072281,7.95137367667092,0.00414840973012755
159.75,-1.26,7.50665788518174,-0.34915982671529,7.95063864847697,-0.026751819404781
160.25,-1.68,7.50824831729508,-0.355475656654022,7.95013695687292,-0.0521618989744158
