"TIME","POSITION","R1","R2","CCR"
0,-0.15,164.721,309.082,4700
0.001,-0.15,164.72,309.079,4700
0.002,-0.15,164.718,309.076,4700
0.003,-0.15,164.717,309.073,4700
0.004,-0.15,164.715,309.07,4700
0.005,-0.15,164.714,309.067,4700
0.006,-0.15,164.712,309.064,4700
0.007,-0.15,164.711,309.061,4700
0.008,-0.15,164.71,309.058,4700
0.009,-0.15,164.708,309.055,4700
0.01,-0.15,164.708,309.055,4700
0.011,-0.15,164.708,309.054,4700
0.012,-0.15,164.708,309.054,4700
0.013,-0.15,164.708,309.053,4700
0.014,-0.15,164.708,309.052,4700
0.015,-0.15,164.708,309.052,4700
0.016,-0.15,164.708,309.051,4700
0.017,-0.15,164.708,309.051,4700
0.018,-0.15,164.708,309.05,4700
0.019,-0.15,164.708,309.049,4700
0.02,-0.15,164.706,309.044,4700
0.021,-0.15,164.704,309.039,4700
0.022,-0.15,164.702,309.034,4700
0.023,-0.15,164.7,309.029,4700
0.024,-0.15,164.698,309.024,4700
0.025,-0.15,164.696,309.019,4700
0.026,-0.15,164.694,309.014,4700
0.027,-0.15,164.692,309.009,4700
0.028,-0.15,164.69,309.004,4700
0.029,-0.15,164.688,308.999,4700
0.03,-0.15,164.686,308.997,4700
0.031,-0.15,164.684,308.996,4700
0.032,-0.15,164.682,308.995,4700
0.033,-0.15,164.68,308.993,4700
0.034,-0.15,164.678,308.992,4700
0.035,-0.15,164.676,308.99,4700
0.036,-0.15,164.674,308.989,4700
0.037,-0.15,164.672,308.987,4700
0.038,-0.15,164.67,308.986,4700
0.039,-0.15,164.668,308.984,4700
0.04,-0.15,164.666,308.982,4700
0.041,-0.15,164.663,308.98,4700
0.042,-0.15,164.661,308.978,4700
0.043,-0.15,164.658,308.976,4700
0.044,-0.15,164.656,308.974,4700
0.045,-0.15,164.654,308.972,4700
0.046,-0.15,164.651,308.969,4700
0.047,-0.15,164.649,308.967,4700
0.048,-0.15,164.646,308.965,4700
0.049,-0.15,164.644,308.963,4700
0.05,-0.15,164.642,308.962,4700
0.051,-0.15,164.641,308.961,4700
0.052,-0.15,164.639,308.961,4700
0.053,-0.15,164.638,308.96,4700
0.054,-0.15,164.636,308.959,4700
0.055,-0.15,164.634,308.958,4700
0.056,-0.15,164.633,308.957,4700
0.057,-0.15,164.631,308.956,4700
0.058,-0.15,164.63,308.956,4700
0.059,-0.15,164.628,308.955,4700
0.06,-0.15,164.626,308.95,4700
0.061,-0.15,164.624,308.946,4700
0.062,-0.15,164.622,308.942,4700
0.063,-0.15,164.62,308.938,4700
0.064,-0.15,164.618,308.934,4700
0.065,-0.15,164.616,308.929,4700
0.066,-0.15,164.614,308.925,4700
0.067,-0.15,164.613,308.921,4700
0.068,-0.15,164.611,308.917,4700
0.069,-0.15,164.609,308.912,4700
0.07,-0.15,164.609,308.912,4700
0.071,-0.15,164.608,308.912,4700
0.072,-0.15,164.608,308.912,4700
0.073,-0.15,164.608,308.912,4700
0.074,-0.15,164.608,308.912,4700
0.075,-0.15,164.608,308.912,4700
0.076,-0.15,164.608,308.912,4700
0.077,-0.15,164.607,308.912,4700
0.078,-0.15,164.607,308.912,4700
0.079,-0.15,164.607,308.912,4700
0.08,-0.15,164.607,308.91,4700
0.081,-0.15,164.606,308.908,4700
0.082,-0.15,164.605,308.907,4700
0.083,-0.15,164.605,308.905,4700
0.084,-0.15,164.604,308.903,4700
0.085,-0.15,164.604,308.902,4700
0.086,-0.15,164.603,308.9,4700
0.087,-0.15,164.602,308.898,4700
0.088,-0.15,164.602,308.897,4700
0.089,-0.15,164.601,308.895,4700
0.09,-0.15,164.6,308.892,4700
0.091,-0.15,164.599,308.889,4700
0.092,-0.15,164.598,308.886,4700
0.093,-0.15,164.597,308.884,4700
0.094,-0.15,164.596,308.881,4700
0.095,-0.15,164.595,308.878,4700
0.096,-0.15,164.594,308.875,4700
0.097,-0.15,164.593,308.872,4700
0.098,-0.15,164.592,308.869,4700
0.099,-0.15,164.591,308.867,4700
0.1,-0.15,164.59,308.863,4700
