TIME,POSITION,rho1,rho2,h,RMS_BASE,RMS_DIFF
13.75,-2.31,2.601809862986742,6.948015460232834,0.0011227226362288953,0.11746062504880009,2.531084668333305
14.25,-2.73,2.5987118647765035,6.9477938871806,0.001663906670334449,0.11755821148156093,1.5423635918515928
14.75,-2.52,3.1505489584978825,6.94775948146598,0.0032976276225514666,0.11765341506238954,1.1482426562389556
15.25,-2.94,1.251951870152801,6.947871000090376,5.093906708134746E-4,0.11774743751366466,0.8927108118279391
15.75,-2.73,0.966699886098473,6.9481350545236165,3.415527261871212E-4,0.1178415062967857,0.7275130936000959
16.25,-3.15,1.174560778635422,6.948539683532195,5.770549718372693E-4,0.11793454912296415,0.5879703165630986
16.75,-2.94,2.6086250212046647,6.94910299012529,0.0035834013733189664,0.11802470437216468,0.47930900823700895
17.25,-3.36,1.7688706241033751,6.949795275974974,0.0016780311754908599,0.11810768941717875,0.38304528628674966
17.75,-3.15,0.857153098774231,6.9506712725513875,4.102153967287923E-4,0.11818087030280125,0.30219841066648456
18.25,-3.57,0.8776219333800848,6.951774375648534,4.7046131002133703E-4,0.11824003206753744,0.2292331403019885
18.75,-3.36,1.3731347781693328,6.95313567993403,0.001274880194645347,0.11828157982062211,0.16755515827225825
19.25,-3.78,6.776439917618601,6.9504487793138905,0.7157938073016966,0.11903934553285815,0.11903934553794404
19.75,-3.57,6.823599673373661,6.9403398766106665,2.5136252015804006,0.12208833678437427,0.1220883368016997
20.25,-3.99,6.905079058520158,7.0603726674470675,3.47600603042796,0.11847532491932916,0.11847532492461542
20.75,-3.78,6.971653030286568,7.172377944228824,4.143202261996969,0.11626678870665295,0.11626678875496817
21.25,-4.2,7.0213190601376745,7.2771536881463685,4.738050791333064,0.11523399122852918,0.11523399125064274
21.75,-3.99,7.058503771972805,7.368286679444509,5.197521516086937,0.11478993247412977,0.11478993250532545
22.25,-4.41,7.093388736581215,7.4658139628338684,5.642349241069343,0.11462461910106139,0.11462461907585299
22.75,-4.2,7.121562387573819,7.55411990167776,6.006735188054705,0.11464128928695914,0.11464128925885543
23.25,-4.62,7.151686100352439,7.661267770072254,6.4144848605175575,0.11483117977873196,0.11483117979659156
23.75,-4.41,7.176303693420657,7.756070917355328,6.747179012133096,0.11504871658444137,0.11504871656767673
24.25,-4.83,7.201643809390388,7.871172467410663,7.114109682636605,0.11540905360922044,0.11540905362041916
24.75,-4.62,7.224302436093394,7.98032542524057,7.441019891178793,0.11574784119841268,0.11574784119425621
25.25,-5.04,7.2434813904252024,8.092147603964085,7.734824040793675,0.11609857848512727,0.1160985784858633
25.75,-4.83,7.261181420695467,8.197685222313268,7.999241841941808,0.11638985734327265,0.11638985736855492
26.25,-5.25,7.272778404433815,8.281394448719977,8.170267026617958,0.1165401252521326,0.11654012524187335
26.75,-5.04,7.2804732205723095,8.327610952292838,8.249060529066693,0.11647010048257468,0.11647010047003814
27.25,-5.46,7.283303403806114,8.343395952790084,8.237175108012476,0.11623103276763486,0.11623103280085677
27.75,-5.25,7.280432969708013,8.298374441311557,8.087753641787723,0.1156680030867134,0.11566800311601533
28.25,-5.67,7.276004987006823,8.251460536882993,7.916802385715922,0.11509814754530086,0.11509814753703242
28.75,-5.46,7.267869201957732,8.167499879684861,7.656182170556115,0.11433170260504874,0.11433170260973193
29.25,-5.88,7.262692252796343,8.113101084972511,7.4587307653686725,0.1137333289880477,0.11373332899286191
29.75,-5.67,7.258852995245717,8.060555803305586,7.271013821994808,0.11314747362321835,0.11314747359269792
30.25,-6.09,7.264344906192063,8.067616656520096,7.249729769951633,0.11287573805481503,0.11287573802356721
30.75,-5.88,7.272510571392654,8.081969509313877,7.259371755793359,0.11262315335840344,0.11262315337219642
