TIME,POSITION
0.354,-0.105
0.355,-0.105
0.356,-0.105
0.357,-0.105
0.358,-0.105
0.359,-0.105
0.36,-0.105
0.361,-0.105
0.362,-0.105
0.363,-0.105
0.364,-0.105
0.365,-0.105
0.366,-0.105
0.367,-0.105
0.368,-0.105
0.369,-0.105
0.37,-0.105
0.371,-0.105
0.372,-0.105
0.373,-0.105
0.374,-0.105
0.375,-0.105
0.376,-0.105
0.377,-0.105
0.378,-0.105
0.379,-0.105
0.38,-0.105
0.381,-0.105
0.382,-0.105
0.383,-0.105
0.384,-0.105
0.385,-0.105
0.386,-0.105
0.387,-0.105
0.388,-0.105
0.389,-0.105
0.39,-0.105
0.391,-0.105
0.392,-0.105
0.393,-0.105
0.394,-0.105
0.395,-0.105
0.396,-0.105
0.397,-0.105
0.398,-0.105
0.399,-0.105
0.4,-0.105
0.401,-0.105
0.402,-0.105
0.403,-0.105
0.404,-0.105
0.405,-0.105
0.406,-0.105
0.407,-0.105
0.408,-0.105
0.409,-0.105
0.41,-0.105
0.411,-0.105
0.412,-0.105
0.413,-0.105
0.414,-0.105
0.415,-0.105
0.416,-0.105
0.417,-0.105
0.418,-0.105
0.419,-0.105
0.42,-0.105
0.421,-0.105
0.422,-0.105
0.423,-0.105
0.424,-0.105
0.425,-0.105
0.426,-0.105
0.427,-0.105
0.428,-0.105
0.429,-0.105
0.43,-0.105
0.431,-0.105
0.432,-0.105
0.433,-0.105
0.434,-0.105
0.435,-0.105
0.436,-0.105
0.437,-0.105
0.438,-0.105
0.439,-0.105
0.44,-0.105
0.441,-0.105
0.442,-0.105
0.443,-0.105
0.444,-0.105
0.445,-0.105
0.446,-0.105
0.447,-0.105
0.448,-0.105
0.449,-0.105
0.45,-0.105
0.451,-0.105
0.452,-0.105
0.453,-0.105
0.454,-0.105
0.455,-0.105
0.456,-0.105
0.457,-0.105
0.458,-0.105
0.459,-0.105
0.46,-0.105
0.461,-0.105
0.462,-0.105
0.463,-0.105
0.464,-0.105
0.465,-0.105
0.466,-0.105
0.467,-0.105
0.468,-0.105
0.469,-0.105
0.47,-0.105
0.471,-0.105
0.472,-0.105
0.473,-0.105
0.474,-0.105
0.475,-0.105
0.476,-0.105
0.477,-0.105
0.478,-0.105
0.479,-0.105
0.48,-0.105
0.481,-0.105
0.482,-0.105
0.483,-0.105
0.484,-0.105
0.485,-0.105
0.486,-0.105
0.487,-0.105
0.488,-0.105
0.489,-0.105
0.49,-0.105
0.491,-0.105
0.492,-0.105
0.493,-0.105
0.494,-0.105
0.495,-0.105
0.496,-0.105
0.497,-0.105
0.498,-0.105
0.499,-0.105
0.5,0.0
0.501,0.0
0.502,0.0
0.503,0.0
0.504,0.0
0.505,0.0
0.506,0.0
0.507,0.0
0.508,0.0
0.509,0.0
0.51,0.0
0.511,0.0
0.512,0.0
0.513,0.0
0.514,0.0
0.515,0.0
0.516,0.0
0.517,0.0
0.518,0.0
0.519,0.0
0.52,0.0
0.521,0.0
0.522,0.0
0.523,0.0
0.524,0.0
0.525,0.0
0.526,0.0
0.527,0.0
0.528,0.0
0.529,0.0
0.53,0.0
0.531,0.0
0.532,0.0
0.533,0.0
0.534,0.0
0.535,0.0
0.536,0.0
0.537,0.0
0.538,0.0
0.539,0.0
0.54,0.0
0.541,0.0
0.542,0.0
0.543,0.0
0.544,0.0
0.545,0.0
0.546,0.0
0.547,0.0
0.548,0.0
0.549,0.0
0.55,0.0
0.551,0.0
0.552,0.0
0.553,0.0
0.554,0.0
0.555,0.0
0.556,0.0
0.557,0.0
0.558,0.0
0.559,0.0
0.56,0.0
0.561,0.0
0.562,0.0
0.563,0.0
0.564,0.0
0.565,0.0
0.566,0.0
0.567,0.0
0.568,0.0
0.569,0.0
0.57,0.0
0.571,0.0
0.572,0.0
0.573,0.0
0.574,0.0
0.575,0.0
0.576,0.0
0.577,0.0
0.578,0.0
0.579,0.0
0.58,0.0
0.581,0.0
0.582,0.0
0.583,0.0
0.584,0.0
