TIME,POSITION,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF
9.25,-0.15,6.420763568069879,0.048406259614503774,4.256824616909224,0.054640563225432606,8.00441426703103,0.29140664619770046,0.02664048084929651,0.032873088281637625
10.75,0,6.432066142974627,0.04998287690745765,4.198880435057336,0.055914490115148305,8.057521079520734,0.29414676017213576,0.02728439911751398,0.0331563796099845
12.25,-0.15,6.432238302147603,0.050016262955417314,4.194473036752559,0.055983430048045554,8.071789387517839,0.29481638355511597,0.027188151788970473,0.033064872872903245
13.75,0,6.434602575211954,0.05026038818497989,4.189048962881428,0.056136934400047425,8.067390091722565,0.2946528071832984,0.02716784949684146,0.032984938477623224
15.25,-0.15,6.47823754991029,0.059264944916718514,3.800023640144069,0.06316506994731276,8.502059781736385,0.3166155313294573,0.03170589966957952,0.035960700269253146
16.75,0,6.527438084287084,0.08029634195056949,2.6664927674228216,0.07557602584401173,9.87311669944175,0.3887304005538573,0.04309086773117334,0.04506164842687036
18.25,-0.15,6.395717302967739,0.08576192219279469,1.4629331359604725,0.08110487799413979,12.216168404251993,0.5307023630170502,0.046454435624693924,0.04609936362452364
19.75,0,6.148711877673753,0.0601259443069545,1.6483830393034262,0.08658366708280435,14.204953594542234,0.6763839733787227,0.030393932013804466,0.023971674155974575
21.25,-0.15,6.034741327340184,0.033762895410583915,3.6843564818324275,0.05696107877721476,11.54684752168134,0.47662077554458904,0.014962095110386497,0.045017300218391426
22.75,0,5.993681723388106,0.025086077364032445,4.463330541671732,0.04042576787087259,9.879225571295013,0.37889862933974633,0.009348842707266504,0.06656031413385462
24.25,-0.15,5.9740170773707675,0.02274199707270199,4.615572571699839,0.03661495331244816,9.589966124441343,0.3633504066017968,0.007919648831840053,0.08441689305790334
25.75,0,5.97223847335804,0.023988909069492477,4.487155087787851,0.03942442865313183,9.957394622644419,0.38277869268796466,0.008615236969338367,0.08353879688254434
27.25,-0.15,5.97837674449058,0.026576330229061675,4.262887255170329,0.044408187972548474,10.454327221251434,0.4103882816218873,0.010002412092311685,0.07013194003610375
28.75,0,5.9799356522671925,0.0282089919241509,4.108693509143068,0.04767629960896531,10.7879510195401,0.4296941002523638,0.010822565152520194,0.06420632694407517
30.25,-0.15,5.996412260097749,0.033636368925902084,3.648710230909319,0.057069271009481996,11.578071480820622,0.478600815518226,0.013864235630719179,0.04466822127709364
31.75,0,6.162606322859323,0.06407949553491239,2.1559298376121254,0.07790450327112286,12.130151485306863,0.5212653987101138,0.031085640074393864,0.03142300037701874
33.25,-0.15,6.391910856152554,0.09595880057771622,1.3932294538575705,0.07934640773359324,11.52954348399437,0.48747372034244635,0.049974587991039925,0.050310704284203374
34.75,0,6.359192721256324,0.0677090137937073,2.9458001428511422,0.07147243043121307,9.90966434867545,0.3888249941248097,0.03702306179690294,0.03976795687604397
36.25,-0.15,6.299176246693037,0.038495714332735326,4.591743988610151,0.04556943289707808,7.551157514505062,0.2687521678064472,0.021827233657648392,0.030937308887552827
37.75,0,6.358261226280736,0.04204515335485971,4.52981838471632,0.048236489490312666,7.4888947308555105,0.2664827386503225,0.0240323707584679,0.031577795516842706
39.25,-0.15,6.406933104648461,0.04960315650754657,4.217268855217445,0.055267319783167526,7.935764162845126,0.2884604209048706,0.02837416757637815,0.034172622717132436
40.75,0,6.42021239784428,0.05051276974290432,4.203277662346404,0.05581574868432105,7.911944129657215,0.28750339407051045,0.028980311148794142,0.03455082487945234
42.25,-0.15,6.429508723656307,0.04991981892367373,4.278627898310865,0.05474466350035201,7.705072973604004,0.27781843357248065,0.028388255712982917,0.03391796986100292
43.75,0,6.428503352489612,0.04834247720461823,4.371243086717336,0.053027843965646984,7.514538927388841,0.2687398159761037,0.0272351827471657,0.032932641931708695
45.25,-0.15,6.423632404044666,0.046976809487215256,4.426357128502482,0.0518316104267937,7.4479918335763475,0.2654244041944333,0.026420266898253286,0.032389369323805865
46.75,0,6.453690596028049,0.049083031469557184,4.35681316788088,0.05374717737189387,7.577392890437978,0.2717404845866856,0.027899056775888158,0.033532622770039246
48.25,0.75,6.537124586808077,0.05639720212330775,4.120473541476137,0.05951598330876951,7.871241005067964,0.28649422312421857,0.03249219951751345,0.036972495114488704
49.75,0.6,6.595366732628509,0.06162436326364503,3.9422982321867877,0.06328698468261608,8.093017575482177,0.29760446896265447,0.03572399983659758,0.03958245036426319
51.25,0.75,6.6070627131937005,0.06186475881082505,3.946897821632421,0.06340494786668462,8.086102049927925,0.297304579952971,0.03565443733076034,0.039490831053162506
52.75,0.6,6.608675157709898,0.059972798904906116,4.069946136298621,0.06165859505070094,7.863561642270834,0.286646946429756,0.03414930931599214,0.03812324345837937
54.25,0.75,6.596216252734911,0.056297647494721076,4.241128037940912,0.05864430593577191,7.608241536135892,0.27423700242825105,0.03199984371866693,0.03633625861856616
55.75,0.6,6.578661777066132,0.05437198192874148,4.287452607968204,0.057425479455834524,7.6122814204245595,0.2741142977099787,0.031103074978938213,0.03578598593206149
57.25,0.75,6.582715294121646,0.055361867794361926,4.2451610821769545,0.058242947696893324,7.670082677769736,0.27694897000794133,0.03149396177799777,0.03605357935476586
58.75,0.6,6.596098587306825,0.05824143994395547,4.132081386810802,0.06042314911884965,7.796578592809249,0.2832707061064863,0.03271831434898687,0.03690367257445835
60.25,0.75,6.484467292014343,0.051064214714145635,4.170479419423023,0.057151001493922146,8.216272735381294,0.3016730463230303,0.02926028765164968,0.03504217790508682
61.75,0.6,6.18589788951033,0.030335557727931985,4.409875878693474,0.045382663555750005,9.726766958169412,0.3719498403294846,0.01770050821724758,0.04338127518378382
63.25,0.75,6.009403762989347,0.019071081994140704,4.909952626089654,0.03043659087274006,9.113934033405723,0.3385889167431569,0.007124527667495317,0.15443854287834546
64.75,0.6,6.011014231411836,0.02825088065983724,4.310664614664705,0.044134582556686244,9.91036393405765,0.38127545466403373,0.009424175199458951,0.04479564184603053
66.25,0.75,6.008861282328868,0.029921278976715204,4.234176660513611,0.0457581045551134,9.861768646021783,0.37910907917007064,0.009304172692969391,0.03745040207933204
67.75,0.6,5.9981747251621025,0.03147269506849678,3.9832246636314945,0.05052278773125429,10.629326289837751,0.4214107131240502,0.010022016297805553,0.04013780873135718
