TIME,POSITION,R1,R2,CCR,ANGLE,A1,A2,DA1,DA2,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF
4.25,-0.105,118.091,163.644,3738,0.657968867750071,5.20137456325681,4.80790869971111,1.70014861469655,2.16804594972192,5.41786877240531,0.026739809965454955,4.293261563276203,0.030350996095360065,5.750961740154987,0.178418214304147,0.02573956051606321,0.11666215782068
5.75,0,118.26,163.944,3734,1.230863840285,5.19995134833688,4.80623008964404,1.71882968609338,2.23852088019079,5.431803792399457,0.029714581576257056,4.209964270758262,0.03370047104972018,5.985246515074954,0.19203408078072093,0.024639936978469373,0.11767572542169984
7.25,-0.105,117.991,163.479,3728,1.95168917474122,5.19831067905415,4.80325284215577,1.76962716294439,2.31316030114648,5.447504074717291,0.03255125786504717,4.127114377471456,0.03672458684837829,6.172480908062251,0.2025339166870396,0.023638023329373842,0.11246738681981483
8.75,0,118.196,163.683,3720,2.80194158164505,5.1962224295241,4.79840296833438,1.77654260412437,2.27189174017286,5.435702480175424,0.030552970638697267,4.184973071949794,0.0344525105713253,5.995403628153102,0.19277287641571522,0.024714505021564043,0.10891431177432892
10.25,-0.105,117.909,163.123,3715,3.7631177715228,5.19248671446698,4.79222416387337,1.70599403484186,2.16320509797352,5.4057986999641106,0.026668027846197387,4.283640565095479,0.03026442571279398,5.741911364012047,0.17790151997831724,0.02651020791835081,0.11437722672976716
11.75,0,117.902,163.134,3711,4.81671445490079,5.18786837397243,4.78635581642493,1.58639651356336,2.00705561425531,5.363999079495619,0.021450309498234482,4.405028736368807,0.02453077202057172,5.409363165387078,0.15678577903881963,0.028651529597448603,0.12580711914149048
13.25,-0.105,117.719,162.803,3704,5.94071030435698,5.1846474164939,4.78287285619631,1.50488723371601,1.92809604157497,5.340990129902731,0.019073123278194187,4.455643156077868,0.0219145808660151,5.270870757878365,0.14727043114605376,0.029611676204775717,0.13696802528575913
14.75,0,117.845,163.072,3699,7.08969607618855,5.18195968239747,4.78008856064183,1.49061103659718,1.95378237398139,5.3422506827081895,0.02023368090875417,4.427472278822679,0.023320727376238217,5.382136075228408,0.15476244885206328,0.02927087161370026,0.143360793498068
16.25,-0.105,117.596,162.61,3692,8.20872160777675,5.17764003088096,4.77502534506437,1.5268749123437,1.98927398906941,5.346705605489071,0.0214013332607009,4.395733452755107,0.02462278418023492,5.454867087111521,0.15962079417009353,0.028926079518203984,0.13776875544394432
17.75,0,117.624,162.683,3686,9.24280859219923,5.17055064966714,4.76706725954559,1.59365488547358,2.05451129636722,5.355911719781481,0.02354123126039575,4.337311248473002,0.026978046483777024,5.583409773029251,0.16796030307406268,0.028226158174720063,0.12799760225739373
19.25,-0.105,117.233,161.941,3680,10.1370922506926,5.15937859949185,4.75559246186244,1.55322491784948,2.0371659018194,5.33940320994426,0.023358561599931577,4.329968333824771,0.026883769345439533,5.605783185055479,0.16925559229478956,0.028440371984646554,0.13513890767527093
20.75,0,116.915,161.609,3675,10.8751938503872,5.14671136849045,4.74308965031641,1.42668883475096,1.9296809403195,5.298715366239389,0.020209879797913822,4.392960433017791,0.0234713072843817,5.438148801402905,0.1583117624577755,0.029774289980772688,0.1558240575155968
22.25,-0.105,116.707,161.196,3667,11.5350765585242,5.13621749761121,4.73260970235868,1.33400525432419,1.87677269187966,5.272463691878768,0.0189533637962275,4.412455974651675,0.022181011849346163,5.403430473825665,0.15582110736112925,0.030405445776770224,0.17545804370460089
23.75,0,116.505,160.961,3658,12.2088945622174,5.12678624233277,4.72298064587319,1.21516833111237,1.77242527532283,5.234718046447362,0.015728292245533897,4.476820175254633,0.018499735681388386,5.192796755656485,0.1411915396008668,0.03175843433066617,0.2007017821086282
25.25,-0.105,116.273,160.553,3654,12.9888020485802,5.11919974427428,4.71563558480945,1.10352167869738,1.61983381010808,5.190872636195622,0.010819864614147478,4.568385187857893,0.012679150797582495,4.792666730945342,0.11027351946928783,0.033542845143119546,0.22016604267593193
26.75,0,116.282,160.637,3646,13.9669532047264,5.11353434489051,4.71070502791307,1.07234209157782,1.54502529624799,5.170709485425217,0.008592423770261854,4.6015525696910755,0.010019147778594818,4.5959837259569465,0.09302669839957502,0.03424014216285956,0.21939239026002166
28.25,-0.105,116.049,160.302,3638,15.2352252879754,5.10661528575137,4.7043124107196,1.03634701691012,1.43317316598275,5.143899526049757,0.005586464863551805,4.641063516605088,0.006452495745615755,4.3273957297657155,0.0665811835675441,0.035194028638246555,0.21050373574858494
29.75,0,115.946,160.191,3635,16.7916163554387,5.09511400263259,4.69356867605089,0.946254344783878,1.26411057931881,5.098475911916346,0.0017561970457841618,4.6833201109417315,0.0019755772648346855,3.983017579418137,0.026343560556918662,0.03654415199269744,0.20733639783493318
31.25,-0.105,115.423,159.397,3612,18.4039958053111,5.07832353061527,4.6793319369321,0.800227031572821,1.06204914151598,5.050763127819281,0.0018911618944571823,4.727477419944265,0.0022262847789086705,3.609871805400149,0.028058623583192988,0.037654331104126186,0.21802175852164202
32.75,0,115.095,159.153,3602,19.8056168115218,5.05878393135647,4.66437948871878,0.634419601220172,0.776552907741256,4.979514837155775,0.005122502106465817,4.754790829726568,0.005783668548452628,3.1179156086506103,0.12444825120130158,0.03898574869638304,0.19505500956034505
34.25,-0.105,114.499,158.488,3590,20.8203511372498,5.03999246110609,4.65150634685174,0.458881426447946,0.552668279756221,4.9347313404661355,0.0025831221896138404,4.755189734585761,0.0030288931182037007,3.346307405322919,0.07566346054507526,0.03862855115232112,0.1758873580313214
