"TIME","R1","R1`","R2","R2`","POSITION","dH"
256.25,212.012311258278,211.763119205298,273.590337748344,273.222609271523,-7.98,0.420000000000001
256.75,211.763119205298,211.902231788079,273.222609271523,273.573536423841,-7.56,-0.21
257.25,211.902231788079,211.622397350993,273.573536423841,273.02901986755,-7.77,0.42
257.75,211.622397350993,211.742536423841,273.02901986755,273.315317880795,-7.35,-0.21
258.25,211.742536423841,211.416450331126,273.315317880795,272.756046357616,-7.56,0.42
258.75,211.416450331126,211.522185430464,272.756046357616,272.990887417219,-7.14,-0.21
259.25,211.522185430464,211.205748344371,272.990887417219,272.427264900662,-7.35,0.42
259.75,211.205748344371,211.319754966887,272.427264900662,272.683304635762,-6.93,-0.21
260.25,211.319754966887,210.957933774834,272.683304635762,272.098589403974,-7.14,0.42
260.75,210.957933774834,211.073986754967,272.098589403974,272.353059602649,-6.72,-0.21
261.25,211.073986754967,210.706086092715,272.353059602649,271.75259602649,-6.93,0.42
261.75,210.706086092715,210.835112582781,271.75259602649,272.026291390728,-6.51,-0.21
262.25,210.835112582781,210.481185430464,272.026291390728,271.449622516556,-6.72,0.42
262.75,210.481185430464,210.586072847682,271.449622516556,271.632059602649,-6.3,-0.21
263.25,210.586072847682,210.253033112583,271.632059602649,271.106350993377,-6.51,0.42
263.75,210.253033112583,210.383675496689,271.106350993377,271.389662251656,-6.09,-0.21
264.25,210.383675496689,210.049794701987,271.389662251656,270.868052980132,-6.3,0.42
264.75,210.049794701987,210.160218543046,270.868052980132,271.011317880795,-5.88,-0.21
265.25,210.160218543046,209.867344370861,271.011317880795,270.560589403973,-6.09,0.42
265.75,209.867344370861,209.987198675497,270.560589403973,270.731622516556,-5.67,-0.21
266.25,209.987198675497,209.676443708609,270.731622516556,270.264410596026,-5.88,0.42
266.75,209.676443708609,209.797483443709,270.264410596026,270.425887417219,-5.46,-0.21
267.25,209.797483443709,209.486635761589,270.425887417219,269.940152317881,-5.67,0.42
267.75,209.486635761589,209.603867549669,269.940152317881,270.138304635762,-5.25,-0.21
268.25,209.603867549669,209.309298013245,270.138304635762,269.711198675497,-5.46,0.42
268.75,209.309298013245,209.400026490066,269.711198675497,269.864953642384,-5.04,-0.21
269.25,209.400026490066,209.083562913907,269.864953642384,269.426105960265,-5.25,0.42
269.75,209.083562913907,209.174410596026,269.426105960265,269.592324503311,-4.83,-0.21
270.25,209.174410596026,208.887973509934,269.592324503311,269.238139072848,-5.04,0.42
270.75,208.887973509934,208.989940397351,269.238139072848,269.38021192053,-4.62,-0.21
271.25,208.989940397351,208.689278145695,269.38021192053,268.984013245033,-4.83,0.42
271.75,208.689278145695,208.775993377483,268.984013245033,269.101993377483,-4.41,-0.21
272.25,208.775993377483,208.456125827815,269.101993377483,268.736688741722,-4.62,0.42
272.75,208.456125827815,208.532635761589,268.736688741722,268.77438410596,-4.2,-0.21
273.25,208.532635761589,208.259410596026,268.77438410596,268.525907284768,-4.41,0.42
273.75,208.259410596026,208.340079470199,268.525907284768,268.609854304636,-3.99,-0.21
274.25,208.340079470199,208.083470198675,268.609854304636,268.34117218543,-4.2,0.42
274.75,208.083470198675,208.172105960265,268.34117218543,268.410675496689,-3.78,-0.21
275.25,208.172105960265,207.92101986755,268.410675496689,268.210754966887,-3.99,0.42
275.75,207.92101986755,207.979887417219,268.210754966887,268.245125827815,-3.57,-0.21
276.25,207.979887417219,207.759894039735,268.245125827815,268.105331125828,-3.78,0.42
276.75,207.759894039735,207.848291390728,268.105331125828,268.173920529801,-3.36,-0.21
277.25,207.848291390728,207.60638410596,268.173920529801,268.004377483444,-3.57,0.42
277.75,207.60638410596,207.676410596026,268.004377483444,268.059158940397,-3.15,-0.21
278.25,207.676410596026,207.430410596026,268.059158940397,267.943225165563,-3.36,0.42
