TIME,POSITION,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF
4.25,0.84,4.478537430750803,0.03921702503518453,2.68927193390584E14,2.5577446405306438E26,22.119882626026303,1.279610708706758,0.07700150779376251,0.6585253965554517
5.25,1.05,4.8849036072893375,7.903827674612311E-4,4.91333888769661,9.278662241552398E-4,2.967769293848367,0.1609932065406311,0.08122918278715988,1.1319880682836652
6.25,1.26,4.915975569590929,8.915705478778402E-4,4.922970341447419,0.0010322618642035848,1.8567880668961474,0.6430209709387892,0.08086602158262485,5.657100543494088
7.25,1.47,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
8.25,1.68,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
9.25,1.89,4.767927757178194,0.047655229050750376,7.778744136793247E-13,0.12421042261705567,20.09724711798439,1.345612056178828,0.14346351256339995,0.8521233778205594
10.25,2.1,4.771477956389668,0.04769053634116789,1.0965627705557912E-13,0.12421042243696465,20.097247117986065,1.3456120548252617,0.14330564455778994,0.7196649512168858
11.25,2.31,4.776008449862135,0.04773560922326737,7.662017920185722E-14,0.12421042225628053,20.097247117986125,1.3456120560280638,0.14311901586166123,0.6213358624186761
12.25,2.52,4.780820868905344,0.04778353845647373,2.1974198457807056E-13,0.12421042254072066,20.09724711798581,1.3456120565329979,0.14296696767981953,0.529547655684931
13.25,2.73,4.895684234053258,0.0031287348913420798,4.734690608343865,0.004288837618767067,5.315714381582838,0.1456510173600835,0.08818668024912929,0.16851465763970552
14.25,2.94,4.88656527009969,0.005208575448558062,4.641294938739187,0.00757956767318812,6.13613124214938,0.194073907326703,0.09176784176076254,0.11451443590394376
15.25,3.15,4.904427489772252,0.006390833484747858,4.605895367931283,0.009231112159952584,6.188700416700297,0.19715484671834732,0.09274296645202366,0.0927429664716332
16.25,3.36,4.939323854828696,0.006489314186389103,4.631999080062992,0.008936480713947283,5.733656679831279,0.17233519235292202,0.09155685174178435,0.09155685178043102
17.25,3.57,4.977660026958381,0.006069477681590371,4.669113523628121,0.007985912279982675,5.259640908417762,0.14285958627682227,0.09011005716513758,0.0901100571504978
18.25,3.78,5.020573403504917,0.005039257034911012,4.712762937438757,0.006345368128832728,4.780706517369485,0.10728304308696765,0.0885160199585045,0.08851601996666848
19.25,3.99,5.05473877884514,0.004835132698633993,4.725476161212675,0.0059644665313616585,4.614259880070636,0.09314956656820385,0.0880905285418808,0.08809052851372437
20.25,4.2,5.062420661240517,0.007764995374622524,4.657263629662568,0.009834815571472554,5.10605694746029,0.13282077578196722,0.0904629175414698,0.09046291752880915
21.25,4.41,5.046832324065988,0.012744794790123757,4.474683215909676,0.0173153087940387,6.2509899016145445,0.2020537224284448,0.09629773389653815,0.09629773391146494
22.25,4.62,5.023207937961872,0.01794942084146676,4.142043454627316,0.02708950530573773,7.858798678902506,0.2797239861727161,0.1051992615663479,0.10519926157160074
23.25,4.83,5.010977123162823,0.023453802895920774,3.6561912476352334,0.03930744300579235,9.573787540877616,0.36373034855758124,0.11514064262803714,0.11514064259373301
24.25,5.04,5.0303848546488386,0.029416560075158495,3.187996834767423,0.05052010005112763,10.64123086611218,0.42292497101619303,0.12266946269649769,0.12266946271678318
25.25,5.25,5.085384608673832,0.03480018542797251,2.973473312302286,0.05569067807037249,10.652691238340033,0.42496607070655346,0.125403522327476,0.12540352229632173
26.25,5.46,5.176125145083959,0.03770859685387482,3.1549825975361188,0.053508775380918014,9.626161332203568,0.3698578330027532,0.12081165177568817,0.12081165176130841
27.25,5.67,5.292452158142455,0.0381579673479383,3.541555568408741,0.04829501800886769,8.205156122730058,0.3003213069525971,0.11086894358653873,0.11086894354555842
28.25,5.88,5.406307618084063,0.037339554790739235,3.8613323186076114,0.04367940886206451,7.076234433807417,0.2476419136131304,0.10179535938884698,0.10179535935051062
29.25,6.09,5.4877915509708615,0.036383685602855625,4.0338727748834255,0.0407290084049248,6.438045358569569,0.21672268152569923,0.09682142887021547,0.09682142887749595
30.25,5.88,5.526059351131645,0.035605493104212536,4.109133966666346,0.03903686425235935,6.132289866586337,0.20098557925788527,0.09468351192974121,0.09468351196567397
31.25,5.67,5.530263666356611,0.034835408792135786,4.1393153829527245,0.03788117452331525,5.980041809463996,0.19276765612333502,0.09366726142630376,0.09366726144548768
32.25,5.46,5.516774684629328,0.03280818839292559,4.187998762672945,0.03556972568315199,5.789292245308466,0.18187243126837194,0.092105047194678,0.09210504719742758
33.25,5.25,5.4980278866579475,0.028023375515945633,4.298637959141021,0.030290961925243894,5.418458460829045,0.1588888713476518,0.0890213772300715,0.08902137724479889
34.25,5.04,5.477380289585697,0.0197626368054172,4.457335056831494,0.021228527576491917,4.865311530123986,0.1186282761845048,0.08472109392912436,0.08472109390972994
35.25,4.83,5.453131844304519,0.009346696271834279,4.606294073558364,0.009913394755814712,4.274407388332103,0.06299814699009662,0.08059440227734586,0.08059440226165474
36.25,4.62,5.45125580875227,5.531948721372186E-4,4.732457662698939,5.230826946232036E-4,3.822229622944348,0.006177486184979606,0.07663831010427398,0.07663831009175076
37.25,4.41,5.362195162006856,0.005879382200138895,4.753168331586278,0.006344715293144939,3.4941321335485136,0.046687015694141666,0.07660210019626751,0.07660210020809458
38.25,4.2,5.333739607057701,0.013573180758664581,4.828792000048145,0.014189134672792111,3.030343918999081,0.14561951887616745,0.07442076716267451,0.07442076716586113
39.25,3.99,5.349926767553219,0.019743000578373183,4.93743051067196,0.01853034292304439,2.32290213524521,0.3885533129855903,0.07218265094268476,0.06499718410983632
40.25,3.78,5.219999839344217,0.013146312771201433,4.9002145150487735,0.013364495656271689,2.595322685837907,0.27648969254276634,0.07265634248704553,0.015604777414160125
41.25,3.57,5.107487227180947,0.006941724905440916,4.868166099589762,0.007636670744938494,2.9565898962974932,0.16454482930857525,0.07381306324918425,0.02725854766560843
42.25,3.36,5.033042860517499,0.00287502731051632,4.846700801948017,0.0033445895251554133,3.3177781257428163,0.08130652552232864,0.07559941556238327,0.01703674512894524
43.25,3.15,4.990984447911249,0.001136623192268796,4.831602691519237,0.0013764118439533312,3.567787345082516,0.03563142362444512,0.07776787564379511,0.05857326728501827
44.25,2.94,4.925609933869016,0.0036025301900247,4.728193746169512,0.0047843369444546474,5.066363278794441,0.12864636404847787,0.08324660633298153,0.08324660632142436
45.25,2.73,4.88989307737569,0.003946046959489328,4.697935902453784,0.005540357149455697,5.644280103848739,0.16636897594498334,0.08623098776699478,0.12555626683010634
46.25,2.52,4.902941760477688,0.0016003239369775319,4.793508654916391,0.0020918850709376845,4.664260183220945,0.09620521460830216,0.08353512061151808,0.2678956609688327
47.25,2.31,4.779820827777422,0.04777120875518527,5.041333779752306E-15,0.1242104224631389,20.097247117986353,1.3456120571331196,0.1408753426240709,0.7452175435200338
48.25,2.1,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
49.25,1.89,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
50.25,1.68,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
51.25,1.47,4.889688047000991,7.529910337458286E-4,4.921443099834329,8.966510894568773E-4,3.0777334788382826,0.1337339261705262,0.08014190778750464,0.5965651330574738
52.25,1.26,4.84526468797194,2.009633617605114E-4,4.899398450153694,2.63224684018691E-4,3.6853232909717946,0.01756511662097177,0.08156114289078627,0.3948830078986031
53.25,1.05,4.863675939994167,1.190215616776088E-4,4.928324502937414,1.4301729353712804E-4,3.9038214704883236,0.01365871877614925,0.08034636635260056,0.367600703790877
54.25,1.05,4.495087977754736,0.039360983230068786,1.3913454667775375E14,6.796005530890489E25,22.119882626025944,1.2796107071323997,0.07536306991698713,0.6374602510104623
55.25,1.26,4.494579610551913,0.039356599541418354,1.1785611097099184E14,4.877375800663515E25,22.11988262602583,1.2796107078395815,0.0754784386539562,0.6931576340553144
56.25,1.47,4.945957118951317,7.370550982128192E-4,4.956037382435185,8.03765121714714E-4,2.092871847778765,0.49583013647628127,0.07948728440567734,2.5325481943609613
57.25,1.68,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
58.25,1.89,4.776793145420822,0.04774264210384975,1.2091537073332936E-13,0.12421042256653306,20.097247117986036,1.3456120556049547,0.14239470927258147,0.9252436864689015
59.25,2.1,4.780283919003961,0.04777728548762307,9.207959505399579E-14,0.12421042241167898,20.097247117986054,1.3456120562050913,0.14217472067119113,0.7235431148658683
60.25,2.31,4.784538882272761,0.04781949641656749,1.0862846193946416E-13,0.12421042230823352,20.097247117986107,1.3456120562840843,0.14189203152756366,0.5680604453703719
61.25,2.52,4.9029072583211715,0.0024196709619028643,4.766705898665182,0.0032463967632881305,5.021242614504692,0.12495088151015879,0.08608882445977394,0.09196409294907845
62.25,2.73,4.91552644583873,0.0029304358826864,4.753565919248301,0.003920768272667678,5.059196959766022,0.12789779345750232,0.08637870736009648,0.0863787073465245
63.25,2.94,4.9527550038811246,0.0024430945955285126,4.777360320078318,0.0031195981761523795,4.586066422170093,0.0896768596796899,0.08506503878131738,0.08506503878209283
64.25,3.15,4.942867639456741,1.1491621454691532E-4,4.764804552348011,1.7000082903315675E-4,3.7966920563703064,1.1746353298160661E-4,0.08741244374140943,0.08741244373199367
65.25,3.36,5.055957967197445,0.003216735216450953,4.864354096775626,0.0037192369446408338,3.2800740056186686,0.08895128551234799,0.08170323054952125,0.06892973426793689
66.25,3.57,5.081376317236048,0.0041767033468208745,4.876551774556622,0.0047592435738801255,3.182371400014922,0.10980726650871366,0.08131144103074317,0.05786059625397068
67.25,3.78,5.090405472339603,0.003712753881755709,4.8756011178729635,0.004261669881857062,3.2673507639484165,0.09154979418345983,0.0814303577475582,0.0814303577609836
68.25,3.99,5.03376024789476,0.006155528650022902,4.702328307339438,0.00789242472421904,5.050355706356681,0.12832251486286392,0.08736379481650865,0.08736379482675583
69.25,4.2,4.991370531295498,0.012922555021017443,4.381288778729295,0.019184831827648165,7.157554522127053,0.2460529399754579,0.09728447085427357,0.09728447084113073
70.25,4.41,4.971744646012958,0.01687368605248805,4.055882203309769,0.028029934428851273,8.690218392118332,0.3183750521423798,0.10512136206156696,0.10512136202269232
71.25,4.62,4.999631178869117,0.015386993702935683,4.248440612866046,0.023410825881119198,7.662475370527998,0.2700288252267754,0.10092264698566838,0.1009226470123922
