TIME_s,R1_Ω,MYO1_mV,R2_Ω,MYO2_mV,APPARENT_06_18_RHO_Ω·m,APPARENT_30_18_RHO_Ω·m,CCR_Ω
0.0,32.319,-0.002,50.201,0.019,1.218,1.262,712.0
0.001,32.319,-1224.45,50.2,-11.051,1.218,1.262,712.0
0.002,32.319,-0.013,50.2,-0.019,1.218,1.262,712.0
0.003,32.319,-1938.182,50.2,-17.554,1.218,1.262,712.0
0.004,32.319,-0.036,50.2,-0.078,1.218,1.262,712.0
0.005,32.319,5079.329,50.2,45.872,1.218,1.262,712.0
0.006,32.319,0.044,50.2,0.081,1.218,1.262,712.0
0.007,32.319,-1868.47,50.199,-16.82,1.218,1.262,712.0
0.008,32.319,0.01,50.199,0.028,1.218,1.262,712.0
0.009,32.32,-1130.078,50.199,-10.203,1.218,1.262,712.0
0.01,32.32,-0.005,50.199,-0.018,1.218,1.262,712.0
0.011,32.32,-258.189,50.199,-2.353,1.218,1.262,712.0
0.012,32.32,0.003,50.199,-0.023,1.218,1.262,712.0
0.013,32.32,417.65,50.199,3.757,1.218,1.262,712.0
0.014,32.32,-0.005,50.199,-0.015,1.218,1.262,712.0
0.015,32.32,645.084,50.199,5.831,1.218,1.262,712.0
0.016,32.32,0.0,50.199,0.024,1.218,1.262,712.0
0.017,32.32,393.116,50.199,3.567,1.218,1.262,712.0
0.018,32.32,0.007,50.199,0.023,1.218,1.262,712.0
0.019,32.321,-242.692,50.199,-2.172,1.218,1.262,712.0
0.02,32.321,0.003,50.199,0.012,1.218,1.262,712.0
0.021,32.321,-985.133,50.199,-8.893,1.218,1.262,712.0
0.022,32.321,-0.012,50.199,-0.015,1.218,1.262,712.0
0.023,32.321,-1559.369,50.199,-14.124,1.218,1.262,712.0
0.024,32.321,-0.029,50.198,-0.066,1.218,1.262,712.0
0.025,32.321,4086.595,50.198,36.905,1.218,1.262,712.0
0.026,32.321,0.032,50.198,0.07,1.218,1.262,712.0
0.027,32.321,-1503.289,50.198,-13.533,1.218,1.262,712.0
0.028,32.321,0.011,50.198,0.02,1.218,1.262,712.0
0.029,32.321,-909.205,50.198,-8.203,1.218,1.262,712.0
0.03,32.322,-0.002,50.197,-0.016,1.219,1.262,712.0
0.031,32.322,-207.728,50.197,-1.894,1.219,1.262,712.0
0.032,32.322,0.001,50.197,-0.015,1.219,1.262,712.0
0.033,32.322,336.02,50.197,3.022,1.219,1.262,712.0
0.034,32.323,-0.006,50.197,-0.007,1.219,1.262,712.0
0.035,32.323,519.005,50.196,4.689,1.219,1.262,712.0
0.036,32.323,0.001,50.196,0.004,1.219,1.262,712.0
0.037,32.323,316.283,50.196,2.87,1.219,1.262,712.0
0.038,32.323,0.008,50.196,0.024,1.219,1.262,712.0
0.039,32.324,-195.256,50.196,-1.745,1.219,1.262,712.0
0.04,32.324,-0.003,50.195,0.017,1.219,1.262,712.0
0.041,32.324,-792.595,50.195,-7.155,1.219,1.262,712.0
0.042,32.324,-0.006,50.195,-0.016,1.219,1.262,712.0
0.043,32.324,-1254.6,50.194,-11.365,1.219,1.262,712.0
0.044,32.324,-0.023,50.194,-0.054,1.219,1.262,712.0
0.045,32.325,3287.893,50.194,29.691,1.219,1.262,712.0
0.046,32.325,0.027,50.193,0.054,1.219,1.261,712.0
0.047,32.325,-1209.48,50.193,-10.887,1.219,1.261,712.0
0.048,32.325,0.009,50.193,0.017,1.219,1.261,712.0
0.049,32.325,-731.507,50.192,-6.606,1.219,1.261,712.0
0.05,32.325,-0.004,50.192,-0.011,1.219,1.261,712.0
0.051,32.325,-167.127,50.192,-1.518,1.219,1.261,712.0
0.052,32.325,-0.001,50.192,-0.014,1.219,1.261,712.0
0.053,32.325,270.348,50.192,2.433,1.219,1.261,712.0
0.054,32.325,-0.001,50.192,-0.002,1.219,1.261,712.0
0.055,32.325,417.569,50.191,3.77,1.219,1.261,712.0
0.056,32.325,0.002,50.191,0.0,1.219,1.261,712.0
0.057,32.325,254.465,50.191,2.306,1.219,1.261,712.0
0.058,32.325,0.005,50.191,0.022,1.219,1.261,712.0
0.059,32.325,-157.095,50.191,-1.402,1.219,1.261,712.0
0.06,32.325,-0.003,50.191,0.006,1.219,1.261,712.0
0.061,32.325,-637.684,50.19,-5.756,1.219,1.261,712.0
0.062,32.325,-0.005,50.19,-0.006,1.219,1.261,712.0
0.063,32.325,-1009.396,50.19,-9.144,1.219,1.261,712.0
0.064,32.325,-0.018,50.19,-0.044,1.219,1.261,712.0
0.065,32.325,2645.291,50.19,23.89,1.219,1.261,712.0
0.066,32.325,0.023,50.189,0.046,1.219,1.261,712.0
0.067,32.325,-973.091,50.189,-8.759,1.219,1.261,712.0
0.068,32.325,0.003,50.189,0.008,1.219,1.261,712.0
0.069,32.325,-588.54,50.189,-5.313,1.219,1.261,712.0
0.07,32.324,-0.001,50.189,-0.005,1.219,1.261,712.0
0.071,32.324,-134.463,50.189,-1.226,1.219,1.261,712.0
0.072,32.324,0.002,50.189,-0.015,1.219,1.261,712.0
0.073,32.324,217.508,50.189,1.955,1.219,1.261,712.0
0.074,32.324,-0.003,50.189,-0.001,1.219,1.261,712.0
0.075,32.324,335.957,50.189,3.042,1.219,1.261,712.0
0.076,32.324,-0.001,50.189,0.006,1.219,1.261,712.0
0.077,32.324,204.734,50.189,1.854,1.219,1.261,712.0
0.078,32.324,0.007,50.189,0.011,1.219,1.261,712.0
0.079,32.324,-126.391,50.189,-1.132,1.219,1.261,712.0
0.08,32.324,-0.001,50.189,0.01,1.219,1.261,712.0
0.081,32.324,-513.054,50.189,-4.631,1.219,1.261,712.0
0.082,32.323,-0.008,50.189,-0.008,1.219,1.261,712.0
0.083,32.323,-812.115,50.189,-7.354,1.219,1.261,712.0
0.084,32.323,-0.011,50.189,-0.037,1.219,1.261,712.0
0.085,32.323,2128.28,50.189,19.219,1.219,1.261,712.0
0.086,32.323,0.018,50.189,0.04,1.219,1.261,712.0
0.087,32.323,-782.904,50.189,-7.052,1.219,1.261,712.0
0.088,32.323,0.001,50.189,0.007,1.219,1.261,712.0
0.089,32.323,-473.509,50.189,-4.269,1.219,1.261,712.0
0.09,32.323,0.0,50.189,-0.005,1.219,1.261,712.0
0.091,32.323,-108.187,50.189,-0.984,1.219,1.261,712.0
0.092,32.322,0.001,50.189,-0.008,1.219,1.261,712.0
0.093,32.322,175.001,50.189,1.572,1.219,1.261,712.0
0.094,32.322,-0.001,50.19,-0.007,1.219,1.261,712.0
0.095,32.322,270.293,50.19,2.439,1.219,1.261,712.0
0.096,32.322,-0.002,50.19,0.007,1.219,1.261,712.0
0.097,32.322,164.722,50.19,1.494,1.219,1.261,712.0
0.098,32.322,0.005,50.19,0.01,1.219,1.261,712.0
0.099,32.322,-101.69,50.19,-0.903,1.219,1.261,712.0
0.1,32.322,0.0,50.19,0.01,1.219,1.261,712.0
0.101,32.321,-412.782,50.19,-3.73,1.218,1.261,712.0
0.102,32.321,-0.008,50.19,-0.01,1.218,1.261,712.0
0.103,32.321,-653.387,50.19,-5.918,1.218,1.261,712.0
0.104,32.321,-0.011,50.19,-0.027,1.218,1.261,712.0
0.105,32.321,1712.318,50.19,15.467,1.218,1.261,712.0
0.106,32.321,0.017,50.19,0.027,1.218,1.261,712.0
0.107,32.321,-629.889,50.19,-5.676,1.218,1.261,712.0
0.108,32.321,0.002,50.19,0.015,1.218,1.261,712.0
0.109,32.321,-380.967,50.191,-3.442,1.218,1.261,712.0
0.11,32.32,0.0,50.19,-0.015,1.218,1.261,712.0
0.111,32.32,-87.039,50.19,-0.781,1.218,1.261,712.0
0.112,32.32,0.001,50.19,-0.003,1.218,1.261,712.0
0.113,32.32,140.796,50.19,1.263,1.218,1.261,712.0
0.114,32.32,-0.005,50.19,-0.004,1.218,1.261,712.0
0.115,32.32,217.467,50.19,1.963,1.218,1.261,712.0
0.116,32.32,0.001,50.19,0.006,1.218,1.261,712.0
0.117,32.32,132.525,50.19,1.2,1.218,1.261,712.0
0.118,32.319,0.006,50.19,0.008,1.218,1.261,712.0
0.119,32.319,-81.814,50.19,-0.731,1.218,1.261,712.0
0.12,32.319,-0.001,50.19,0.005,1.218,1.261,712.0
0.121,32.319,-332.102,50.19,-2.995,1.218,1.261,712.0
0.122,32.319,-0.005,50.189,-0.008,1.218,1.261,712.0
0.123,32.319,-525.692,50.189,-4.764,1.218,1.261,712.0
0.124,32.319,-0.01,50.188,-0.021,1.218,1.261,712.0
0.125,32.319,1377.657,50.188,12.441,1.218,1.261,712.0
0.126,32.319,0.01,50.188,0.027,1.218,1.261,712.0
0.127,32.319,-506.782,50.187,-4.557,1.218,1.261,712.0
0.128,32.318,0.007,50.187,0.004,1.218,1.261,712.0
0.129,32.318,-306.507,50.187,-2.772,1.218,1.261,712.0
0.13,32.318,-0.001,50.186,-0.008,1.218,1.261,712.0
0.131,32.318,-70.027,50.186,-0.639,1.218,1.261,712.0
0.132,32.318,-0.001,50.186,-0.005,1.218,1.261,712.0
0.133,32.318,113.278,50.185,1.021,1.218,1.261,712.0
0.134,32.318,-0.001,50.185,-0.001,1.218,1.261,712.0
0.135,32.318,174.964,50.185,1.581,1.218,1.261,712.0
0.136,32.318,0.0,50.184,0.007,1.218,1.261,712.0
0.137,32.318,106.623,50.184,0.969,1.218,1.261,712.0
0.138,32.318,0.001,50.184,0.002,1.218,1.261,712.0
0.139,32.318,-65.823,50.184,-0.589,1.218,1.261,712.0
0.14,32.318,-0.001,50.183,0.005,1.218,1.261,712.0
0.141,32.318,-267.195,50.183,-2.416,1.218,1.261,712.0
0.142,32.317,0.001,50.183,-0.003,1.218,1.261,712.0
0.143,32.317,-422.945,50.182,-3.828,1.218,1.261,712.0
0.144,32.317,-0.008,50.182,-0.018,1.218,1.261,712.0
0.145,32.317,1108.395,50.182,10.01,1.218,1.261,712.0
0.146,32.317,0.006,50.181,0.017,1.218,1.261,712.0
0.147,32.317,-407.73,50.181,-3.672,1.218,1.261,712.0
0.148,32.317,0.005,50.181,0.003,1.218,1.261,712.0
0.149,32.317,-246.602,50.181,-2.223,1.218,1.261,712.0
0.15,32.317,-0.001,50.18,0.003,1.218,1.261,712.0
0.151,32.317,-56.341,50.18,-0.514,1.218,1.261,712.0
0.152,32.317,-0.001,50.179,-0.008,1.218,1.261,712.0
0.153,32.317,91.138,50.179,0.818,1.218,1.261,712.0
0.154,32.317,0.001,50.179,-0.004,1.218,1.261,712.0
0.155,32.317,140.766,50.178,1.275,1.218,1.261,712.0
0.156,32.317,0.001,50.178,0.005,1.218,1.261,712.0
0.157,32.317,85.786,50.177,0.777,1.218,1.261,712.0
0.158,32.317,0.0,50.177,0.005,1.218,1.261,712.0
0.159,32.318,-52.957,50.177,-0.475,1.218,1.261,712.0
0.16,32.318,0.0,50.176,0.001,1.218,1.261,712.0
0.161,32.318,-214.973,50.176,-1.94,1.218,1.261,712.0
0.162,32.318,-0.001,50.176,0.002,1.218,1.261,712.0
0.163,32.318,-340.284,50.176,-3.079,1.218,1.261,712.0
0.164,32.318,-0.007,50.176,-0.016,1.218,1.261,712.0
0.165,32.318,891.767,50.176,8.051,1.218,1.261,712.0
0.166,32.318,0.006,50.175,0.013,1.218,1.261,712.0
0.167,32.318,-328.043,50.175,-2.953,1.218,1.261,712.0
0.168,32.319,0.002,50.175,0.003,1.218,1.261,712.0
0.169,32.319,-198.404,50.175,-1.79,1.218,1.261,712.0
0.17,32.319,0.0,50.175,-0.003,1.218,1.261,712.0
0.171,32.319,-45.332,50.175,-0.413,1.218,1.261,712.0
0.172,32.319,0.001,50.175,-0.001,1.218,1.261,712.0
0.173,32.319,73.327,50.176,0.658,1.218,1.261,712.0
0.174,32.319,-0.003,50.176,-0.001,1.218,1.261,712.0
0.175,32.319,113.257,50.176,1.025,1.218,1.261,712.0
0.176,32.32,0.0,50.176,-0.002,1.218,1.261,712.0
0.177,32.32,69.019,50.176,0.627,1.218,1.261,712.0
0.178,32.32,0.002,50.177,0.006,1.218,1.261,712.0
0.179,32.32,-42.608,50.177,-0.383,1.218,1.261,712.0
0.18,32.32,0.0,50.177,0.0,1.218,1.261,712.0
0.181,32.32,-172.962,50.177,-1.561,1.218,1.261,712.0
0.182,32.32,0.0,50.177,0.006,1.218,1.261,712.0
0.183,32.32,-273.773,50.178,-2.48,1.218,1.261,712.0
0.184,32.32,-0.007,50.178,-0.015,1.218,1.261,712.0
0.185,32.321,717.476,50.178,6.479,1.218,1.261,712.0
0.186,32.321,0.006,50.178,0.008,1.218,1.261,712.0
0.187,32.321,-263.928,50.178,-2.373,1.218,1.261,712.0
0.188,32.321,0.0,50.179,0.006,1.218,1.261,712.0
0.189,32.321,-159.63,50.179,-1.438,1.218,1.261,712.0
0.19,32.321,0.004,50.179,-0.002,1.218,1.261,712.0
0.191,32.321,-36.469,50.179,-0.341,1.218,1.261,712.0
0.192,32.321,0.001,50.179,-0.004,1.218,1.261,712.0
0.193,32.321,58.993,50.179,0.532,1.218,1.261,712.0
0.194,32.321,-0.005,50.179,0.001,1.218,1.261,712.0
0.195,32.321,91.12,50.179,0.83,1.218,1.261,712.0
0.196,32.321,0.001,50.179,0.003,1.218,1.261,712.0
0.197,32.321,55.531,50.179,0.502,1.218,1.261,712.0
0.198,32.321,0.002,50.179,0.001,1.218,1.261,712.0
0.199,32.321,-34.282,50.179,-0.308,1.218,1.261,712.0
0.2,32.321,0.001,50.179,0.0,1.218,1.261,712.0
0.201,32.321,-139.154,50.179,-1.257,1.218,1.261,712.0
0.202,32.321,-0.002,50.179,0.0,1.218,1.261,712.0
0.203,32.321,-220.268,50.179,-1.994,1.218,1.261,712.0
0.204,32.321,-0.004,50.179,-0.009,1.218,1.261,712.0
0.205,32.321,577.249,50.179,5.209,1.218,1.261,712.0
0.206,32.321,0.003,50.179,0.01,1.218,1.261,712.0
0.207,32.321,-212.347,50.179,-1.906,1.218,1.261,712.0
0.208,32.321,0.003,50.179,0.001,1.218,1.261,712.0
0.209,32.321,-128.429,50.179,-1.163,1.218,1.261,712.0
0.21,32.321,0.0,50.179,-0.001,1.218,1.261,712.0
0.211,32.321,-29.343,50.179,-0.266,1.218,1.261,712.0
0.212,32.321,-0.001,50.178,-0.004,1.218,1.261,712.0
0.213,32.321,47.466,50.178,0.427,1.218,1.261,712.0
0.214,32.321,0.001,50.178,0.003,1.218,1.261,712.0
0.215,32.321,73.314,50.177,0.661,1.218,1.261,712.0
0.216,32.321,-0.001,50.177,-0.004,1.218,1.261,712.0
0.217,32.321,44.676,50.177,0.405,1.218,1.261,712.0
0.218,32.321,0.0,50.177,0.004,1.218,1.261,712.0
0.219,32.321,-27.585,50.176,-0.246,1.218,1.261,712.0
0.22,32.321,0.001,50.176,0.007,1.218,1.261,712.0
0.221,32.321,-111.956,50.176,-1.011,1.218,1.261,712.0
0.222,32.321,0.0,50.175,-0.005,1.218,1.261,712.0
0.223,32.321,-177.214,50.175,-1.603,1.218,1.261,712.0
