TIME,POSITION,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF
4.25,-0.15,6.372086657960632,0.009225713670753602,5.5292335262882935,0.009783526706692636,4.291117655137378,0.06394778136839058,0.00945034735499524,0.21602373674486602
4.75,0,6.3705704975056845,0.009135981762910984,5.530155668672182,0.00968944082757483,4.2870818133859325,0.06350493717663293,0.009412604975292612,0.2156524950521252
5.25,-0.15,6.368346797837552,0.008934640420354047,5.533293096407208,0.009477880141928444,4.2779155418153545,0.062495575151539966,0.009342050478040693,0.21575444200489344
5.75,0,6.365598449443375,0.008646997719771137,5.5381682151334495,0.009175214253421179,4.26471591212918,0.061033297963593684,0.009246455887148581,0.2164586090886431
6.25,-0.15,6.363117383699864,0.008372946819529917,5.542943391939665,0.00888648101844612,4.252046425446288,0.05961990663857378,0.009156328191230115,0.21763331695051905
6.75,0,6.3608528653479866,0.008114218890292497,5.5475278770480445,0.008613577920617224,4.24000291903884,0.05826730667769221,0.009071712068744683,0.21918826115731363
7.25,-0.15,6.358999828333123,0.00789951889008359,5.551360508435018,0.008386894123879395,4.2299488373191325,0.05713131642811032,0.009000876295636744,0.2208357836949503
7.75,0,6.35762855084596,0.007739115762396419,5.55423870627031,0.008217408881084963,4.222401308142352,0.05627442158436522,0.008946879015819052,0.22238494210858636
8.25,-0.15,6.356788343553664,0.0076373569389079675,5.556092889994052,0.008109826210992477,4.217595577537749,0.05572696063381138,0.008911109721642706,0.22359200857603773
8.75,0,6.357373756530057,0.007695045336137783,5.555140583507417,0.008170795273045567,4.220314790499122,0.056036906305172544,0.00892469230907326,0.2240099512932703
9.25,-0.15,6.359065387582179,0.007875102765994842,5.552047332304431,0.00836103522979032,4.2287847081003065,0.05699937978774926,0.008976568619988974,0.2237670225972835
9.75,0,6.361314497199933,0.008115031211663955,5.5479257057007265,0.008614321639422174,4.240011927701574,0.058268321036369176,0.009047292929328278,0.22293084484956888
10.25,-0.15,6.364413504894087,0.00845289260955684,5.542068712606363,0.008970595417516443,4.255713622194685,0.06003001145491576,0.009147937312569476,0.22143944607539617
10.75,0,6.368584690970179,0.00892141126983155,5.533847724480049,0.009463867408232607,4.277285274818371,0.062425989152743735,0.009287955081058442,0.21933688328539322
11.25,-0.15,6.373618570462261,0.009502950639439714,5.523535259644309,0.010074840416396554,4.303745405702551,0.06532723977046309,0.009461808478012888,0.21686339637946642
11.75,0,6.378816564465611,0.010118405373130943,5.512525970664771,0.010719852067033282,4.331385776308076,0.06831455234240101,0.009645853151501316,0.21448790545386626
12.25,-0.15,6.382847146067141,0.010605359145645457,5.5037539444879,0.011229009304663876,4.353003547598662,0.07062078361314933,0.009791206637677722,0.2127653859135815
12.75,0,6.384547764898227,0.010815680224556609,5.499931765337001,0.011448599137504652,4.362275861609547,0.07160200133856287,0.009853189896904339,0.21208742938592728
13.25,-0.15,6.383373029114704,0.010677980691400983,5.502378525847133,0.011304873059542019,4.356214303084522,0.07096109104812502,0.009809877779889375,0.21253687785655978
13.75,0,6.3795319640047925,0.010219585386761171,5.510591966121078,0.01082577028968907,4.335904766155654,0.0687988163569835,0.009669040110235711,0.2140395959960907
14.25,-0.15,6.373998133157412,0.009563644888125519,5.522328054688732,0.010138562745802986,4.306497341471153,0.06562663162823268,0.009466945072951689,0.2160352189566345
14.75,0,6.368434661090668,0.008913980423843245,5.533901588912383,0.009456076471260174,4.27695127323101,0.06238910315463997,0.009264338566938441,0.2177981143215939
15.25,-0.15,6.363958287150299,0.008402555543301866,5.5429457688090045,0.008917549845164727,4.25338340914353,0.05976951647709625,0.009100328325135656,0.21891434639801974
15.75,0,6.36269879073858,0.008196136967188083,5.547097328264508,0.008699744769453125,4.243755665184166,0.05868972658347646,0.009048339284661951,0.21942246661275672
16.25,-0.15,6.366448196839276,0.008390831157576755,5.5454992906164495,0.008904556952781306,4.252679129651393,0.05969072061007742,0.009166836940055358,0.21902484787502546
16.75,0,6.376128676061762,0.00905235807284156,5.537323726997578,0.009599884757427918,4.282853051551991,0.06303989557245253,0.0094919321428572,0.2180039242779189
17.25,-0.15,6.393016140947327,0.010254731328559483,5.521895868157791,0.010858613744833696,4.336511455625874,0.06886374246428051,0.010075322793669466,0.21655741464710282
17.75,0,6.416870705708558,0.01194197572089591,5.500491289622824,0.012613066444007974,4.409374875821731,0.0765139269659932,0.010918906642244418,0.21483813857926798
