TIME,POSITION,R1,R2,CCR,ANGLE,A1,A2,DA1,DA2,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF,PREDICTED_R1,PREDICTED_DIFF_R1,CONTRIBUTION_RHO1_1,CONTRIBUTION_RHO2_1,CONTRIBUTION_H_1,PREDICTED_R2,PREDICTED_DIFF_R2,CONTRIBUTION_RHO1_2,CONTRIBUTION_RHO2_2,CONTRIBUTION_H_2
4.25,-0.105,118.091,163.644,3738,0.657968867750071,5.20137456325681,4.80790869971111,1.70014861469655,2.16804594972192,5.477570375381937,0.046397640403935236,3.383266353082396,0.05475202841535465,8.325039442646824,0.3074715707062837,0.016926770580545862,0.01998995198354709,117.10473838901461,NaN,NaN,NaN,NaN,167.62762134765364,NaN,NaN,NaN,NaN
5.75,0,118.26,163.944,3734,1.230863840285,5.19995134833688,4.80623008964404,1.71882968609338,2.23852088019079,5.491739385768409,0.04960944629121609,3.2160697449804556,0.05786225940788631,8.611513475112016,0.3217017595909105,0.015289420933457764,0.019591073419650336,117.22544630023255,0.12070791121793434,0.26596296354286153,-0.7163288276866666,0.5187954799964132,167.2357064499902,-0.39191489766344034,0.3399122092419873,-1.8133192733240833,0.9860283248495421
7.25,-0.105,117.991,163.479,3728,1.95168917474122,5.19831067905415,4.80325284215577,1.76962716294439,2.31316030114648,5.504523722727653,0.05189910130701526,3.127993399716628,0.05953175918577202,8.690846144306692,0.3259567389793437,0.014298889852082405,0.018492886476391714,117.26496338860461,0.039517088372065245,0.24249911087076725,-0.36023425198602865,0.14981210633374076,166.9205671075033,-0.31513934248690134,0.3109465991880711,-0.9281152001448163,0.2884235361246681
8.75,0,118.196,163.683,3720,2.80194158164505,5.1962224295241,4.79840296833438,1.77654260412437,2.27189174017286,5.4919151594461,0.04944171459843471,3.268541682786305,0.057082332039068075,8.419509384629599,0.31253943082109714,0.0159241797350363,0.018295813348609073,117.07302114629174,-0.1919422423128765,-0.2396122426021492,0.5617451614521798,-0.5556753416174445,167.08646522421432,0.16589811671101984,-0.30730300309309655,1.455815271876503,-1.058899332287126
10.25,-0.105,117.909,163.123,3715,3.7631177715228,5.19248671446698,4.79222416387337,1.70599403484186,2.16320509797352,5.465556643328227,0.04610410437978786,3.3931610214378107,0.054390626454335705,8.277661712390525,0.3052047996768809,0.01785303504647915,0.019689636026107467,116.83163321966948,-0.24138792662225228,-0.4958768057802132,0.5192579134014608,-0.28579925714437593,167.27778758704875,0.19132236283442694,-0.6337913689412176,1.3239196955446175,-0.5363741408249609
11.75,0,117.902,163.134,3711,4.81671445490079,5.18786837397243,4.78635581642493,1.58639651356336,2.00705561425531,5.429461031280888,0.04188622050638356,3.532932418368427,0.05098660371459189,8.167826105620048,0.29922154296693604,0.020054900103736735,0.022550466682082815,116.54904271584556,-0.2825905038239256,-0.6763853418308514,0.5875265490922175,-0.21189541786647226,167.53834541169493,0.2605578246461846,-0.8640491929304233,1.4871651189055797,-0.3943182562960601
13.25,-0.105,117.719,162.803,3704,5.94071030435698,5.1846474164939,4.78287285619631,1.50488723371601,1.92809604157497,5.411755074615971,0.0405037958368443,3.5471177319901304,0.05028535089700101,8.264775048208222,0.30348454861655877,0.02073483680031575,0.024964516228756953,116.44397222454056,-0.10507049130499979,-0.3311583389123882,0.060216005916458926,0.16919608323354396,167.5761142076207,0.037768795925757104,-0.4232718278620098,0.15151562491013237,0.31562779655982354
14.75,0,117.845,163.072,3699,7.08969607618855,5.18195968239747,4.78008856064183,1.49061103659718,1.95378237398139,5.4167982717134375,0.042503964287534744,3.4153035320717695,0.05287173929290569,8.562167427308125,0.31795983184004023,0.019706830999642513,0.02537655079943847,116.50822939009,0.06425716554943506,0.09486440072753055,-0.5506459045233498,0.4793120827927595,167.28853455425073,-0.28757965336995994,0.12156791214709983,-1.3939381447997619,0.9099852927597851
16.25,-0.105,117.596,162.61,3692,8.20872160777675,5.17764003088096,4.77502534506437,1.5268749123437,1.98927398906941,5.418703157602327,0.04315827886145296,3.4029728587518657,0.05318636716909872,8.516376537968624,0.315922033287103,0.019500148466850106,0.02421093184321818,116.41830934435646,-0.0899200457335354,0.03625582636925628,-0.04846472621927944,-0.07706320800909339,167.061285807877,-0.22724874637373205,0.04665433856004597,-0.12510920665539516,-0.1475848145084342
17.75,0,117.624,162.683,3686,9.24280859219923,5.17055064966714,4.76706725954559,1.59365488547358,2.05451129636722,5.423240440699336,0.0443532240305906,3.3817555055558595,0.05375056267592646,8.43457266711554,0.3122967190182147,0.019071545022074893,0.02225619113606478,116.27612213349295,-0.14218721086351138,0.08613524788219706,-0.08462740394968193,-0.14154973578291674,166.68078916217732,-0.38049664569967945,0.11069534161197225,-0.21769084320936827,-0.2695178490355943
