TIME,POSITION,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF
189.75,0,4.3782356689096105,0.0013728401881055632,4.479830792669601,0.001900115674662637,3.8217725290982836,0.07612633376986461,0.013300903299487932,0.2422886736404796
193.25,-1.05,4.382217957546287,0.0013740874314042615,4.483905488645165,0.0019013918372584844,3.8217725290982663,0.07612633188703888,0.013222007091364356,0.11752793878463606
194.75,-1.05,4.384407811964571,0.0013747747017012796,4.486146157717388,0.001902095043716126,3.8217725290984434,0.07612633081893173,0.01325852880466481,0.11837868326616707
198.25,-2.1,4.388053904369045,0.0015789307997549108,4.495600116941326,0.002204926712194529,3.8913438471713526,0.08373475693707046,0.013348766610874658,0.12697100744111808
199.75,-2.1,4.388203197547154,0.0015307420338117378,4.501601229635999,0.0021233479355779,3.822924549400696,0.07618430813813794,0.013370837348089222,0.13466704299393747
203.25,-3.15,4.389756175286235,0.0012628722791881639,4.5164118197227525,0.001718325043424323,3.647174084726012,0.055273390974817635,0.01353131311109713,0.16103150439667518
204.75,-3.15,4.392399980002679,0.0011172067720677603,4.521446295454663,0.0015081849111289502,3.589807971984147,0.0479307550592684,0.013631775624592958,0.14724082487521634
208.25,-4.2,4.4004345827748885,5.391526125753252E-4,4.53464755681528,7.003895552311675E-4,3.412084691665558,0.023285097993283113,0.013769147192007607,0.0748907433223824
209.75,-4.2,4.398901362456636,1.0526792817237408E-4,4.540824086958862,1.4100080404903868E-4,3.285018410072579,0.0036345104270155203,0.013786254094109909,0.05332754833397523
213.25,-5.25,4.400988282052691,9.560816817456476E-4,4.5545190604056724,0.0012902156655430395,3.107985528277005,0.027175772563974594,0.01346718321632282,0.0013577548685804967
214.75,-5.25,4.39751100713903,8.846776563695939E-4,4.549848419500545,0.0011975823979344222,3.1190892708757594,0.02512471913992934,0.013408288446166533,0.010346168356189072
216.75,-4.2,4.386610251192263,3.1988848810397347E-4,4.5322483380300875,4.583824222870786E-4,3.2190443407581126,0.007443199819204427,0.013592120475946856,0.03915124936035776
218.25,-4.2,4.389797840180794,2.2750425531305234E-4,4.529124251914421,2.7686821228520953E-4,3.332413778757913,0.011175207699608678,0.013562853227138537,0.06747340671226915
221.75,-3.15,4.385309076863937,0.001193287838989077,4.506112135383095,0.0016208308852302053,3.6423418417348246,0.05469925777733231,0.013512068642170468,0.10268576639538973
223.25,-3.15,4.380787041553196,0.0012139188459043505,4.501122791959519,0.0016512934280757336,3.6518107101374215,0.05588842402366322,0.013348660613990204,0.10499260029170966
226.75,-2.1,4.378522500001112,0.001482761525734416,4.483211140277591,0.00206292963779964,3.859698775881186,0.0803141763583803,0.013229202155008288,0.07480943071766856
228.25,-2.1,4.375662013903667,0.0013720303835117714,4.477197417078007,0.001899287062261305,3.8217725290988374,0.07612633402324602,0.013142576806546163,0.10671255900571906
231.75,-1.05,4.366690463746004,0.0013692119989451512,4.468017685858854,0.001896403277938505,3.8217725290985576,0.07612632806843052,0.012840841583578453,0.17811119485131083
233.25,-1.05,4.363293694472398,0.0013681446763564367,4.464542095977917,0.0018953112052088731,3.82177252909964,0.07612632806841198,0.012707788665717284,0.1873983349316695
